Year,Month,Day,Period,212_CSP_1
2020,1,7,16,174.6
2020,1,7,17,0
2020,1,7,18,0
2020,1,7,19,0
2020,1,7,20,0
2020,1,7,21,0
2020,1,7,22,0
2020,1,7,23,0
2020,1,7,24,0
2020,1,8,1,0
2020,1,8,2,0
2020,1,8,3,0
2020,1,8,4,0
2020,1,8,5,0
2020,1,8,6,0
2020,1,8,7,0
2020,1,8,8,0
2020,1,8,9,145.4
2020,1,8,10,304.9
2020,1,8,11,337.2
2020,1,8,12,348.4
2020,1,8,13,344.1
2020,1,8,14,323.7
2020,1,8,15,274.4
2020,1,8,16,173.2
2020,1,8,17,0
2020,1,8,18,0
2020,1,8,19,0
2020,1,8,20,0
2020,1,8,21,0
2020,1,8,22,0
2020,1,8,23,0
2020,1,8,24,0
2020,1,9,1,0
2020,1,9,2,0
2020,1,9,3,0
2020,1,9,4,0
2020,1,9,5,0
2020,1,9,6,0
2020,1,9,7,0
2020,1,9,8,0
2020,1,9,9,148.1
2020,1,9,10,309.5
2020,1,9,11,343.3
2020,1,9,12,355.8
2020,1,9,13,352.6
2020,1,9,14,332.2
2020,1,9,15,283
2020,1,9,16,181.4
2020,1,9,17,0
2020,1,9,18,0
2020,1,9,19,0
2020,1,9,20,0
2020,1,9,21,0
2020,1,9,22,0
2020,1,9,23,0
2020,1,9,24,0
2020,1,10,1,0
2020,1,10,2,0
2020,1,10,3,0
2020,1,10,4,0
2020,1,10,5,0
2020,1,10,6,0
2020,1,10,7,0
2020,1,10,8,0
2020,1,10,9,152.8
2020,1,10,10,314
2020,1,10,11,348.3
2020,1,10,12,360.5
2020,1,10,13,357.4
2020,1,10,14,337.3
2020,1,10,15,289
2020,1,10,16,188.4
2020,1,10,17,0
2020,1,10,18,0
2020,1,10,19,0
2020,1,10,20,0
2020,1,10,21,0
2020,1,10,22,0
2020,1,10,23,0
2020,1,10,24,0
2020,1,11,1,0
2020,1,11,2,0
2020,1,11,3,0
2020,1,11,4,0
2020,1,11,5,0
2020,1,11,6,0
2020,1,11,7,0
2020,1,11,8,0
2020,1,11,9,160
2020,1,11,10,320.3
2020,1,11,11,352.2
2020,1,11,12,361.4
2020,1,11,13,354.6
2020,1,11,14,331.1
2020,1,11,15,120.1
2020,1,11,16,0
2020,1,11,17,0
2020,1,11,18,0
2020,1,11,19,0
2020,1,11,20,0
2020,1,11,21,0
2020,1,11,22,0
2020,1,11,23,0
2020,1,11,24,0
2020,1,12,1,0
2020,1,12,2,0
2020,1,12,3,0
2020,1,12,4,0
2020,1,12,5,0
2020,1,12,6,0
2020,1,12,7,0
2020,1,12,8,0
2020,1,12,9,0
2020,1,12,10,244.7
2020,1,12,11,209.1
2020,1,12,12,197
2020,1,12,13,342.2
2020,1,12,14,322.6
2020,1,12,15,276.1
2020,1,12,16,180.2
2020,1,12,17,0
2020,1,12,18,0
2020,1,12,19,0
2020,1,12,20,0
2020,1,12,21,0
2020,1,12,22,0
2020,1,12,23,0
2020,1,12,24,0
2020,1,13,1,0
2020,1,13,2,0
2020,1,13,3,0
2020,1,13,4,0
2020,1,13,5,0
2020,1,13,6,0
2020,1,13,7,0
2020,1,13,8,0
2020,1,13,9,143.8
2020,1,13,10,303.5
2020,1,13,11,336.7
2020,1,13,12,349
2020,1,13,13,346.1
2020,1,13,14,326.7
2020,1,13,15,280.2
2020,1,13,16,185.5
2020,1,13,17,0
2020,1,13,18,0
2020,1,13,19,0
2020,1,13,20,0
2020,1,13,21,0
2020,1,13,22,0
2020,1,13,23,0
2020,1,13,24,0
2020,1,14,1,0
2020,1,14,2,0
2020,1,14,3,0
2020,1,14,4,0
2020,1,14,5,0
2020,1,14,6,0
2020,1,14,7,0
2020,1,14,8,0
2020,1,14,9,145
2020,1,14,10,304.4
2020,1,14,11,337.8
2020,1,14,12,350.3
2020,1,14,13,347.8
2020,1,14,14,328.5
2020,1,14,15,174
2020,1,14,16,0
2020,1,14,17,0
2020,1,14,18,0
2020,1,14,19,0
2020,1,14,20,0
2020,1,14,21,0
2020,1,14,22,0
2020,1,14,23,0
2020,1,14,24,0
2020,1,15,1,0
2020,1,15,2,0
2020,1,15,3,0
2020,1,15,4,0
2020,1,15,5,0
2020,1,15,6,0
2020,1,15,7,0
2020,1,15,8,0
2020,1,15,9,147.3
2020,1,15,10,306.3
2020,1,15,11,339.4
2020,1,15,12,351.8
2020,1,15,13,349.5
2020,1,15,14,331.6
2020,1,15,15,286.8
2020,1,15,16,193.7
2020,1,15,17,0
2020,1,15,18,0
2020,1,15,19,0
2020,1,15,20,0
2020,1,15,21,0
2020,1,15,22,0
2020,1,15,23,0
2020,1,15,24,0
2020,1,16,1,0
2020,1,16,2,0
2020,1,16,3,0
2020,1,16,4,0
2020,1,16,5,0
2020,1,16,6,0
2020,1,16,7,0
2020,1,16,8,0
2020,1,16,9,156.2
2020,1,16,10,315.8
2020,1,16,11,348.4
2020,1,16,12,360.3
2020,1,16,13,356.9
2020,1,16,14,337.7
2020,1,16,15,292.3
2020,1,16,16,199.8
2020,1,16,17,0
2020,1,16,18,0
2020,1,16,19,0
2020,1,16,20,0
2020,1,16,21,0
2020,1,16,22,0
2020,1,16,23,0
2020,1,16,24,0
2020,1,17,1,0
2020,1,17,2,0
2020,1,17,3,0
2020,1,17,4,0
2020,1,17,5,0
2020,1,17,6,0
2020,1,17,7,0
2020,1,17,8,0
2020,1,17,9,148.4
2020,1,17,10,307
2020,1,17,11,339.6
2020,1,17,12,351.3
2020,1,17,13,349.1
2020,1,17,14,331.1
2020,1,17,15,288.1
2020,1,17,16,198.6
2020,1,17,17,0
2020,1,17,18,0
2020,1,17,19,0
2020,1,17,20,0
2020,1,17,21,0
2020,1,17,22,0
2020,1,17,23,0
2020,1,17,24,0
2020,1,18,1,0
2020,1,18,2,0
2020,1,18,3,0
2020,1,18,4,0
2020,1,18,5,0
2020,1,18,6,0
2020,1,18,7,0
2020,1,18,8,0
2020,1,18,9,154.5
2020,1,18,10,311.4
2020,1,18,11,341.7
2020,1,18,12,351.5
2020,1,18,13,347.4
2020,1,18,14,327.9
2020,1,18,15,284
2020,1,18,16,106.6
2020,1,18,17,0
2020,1,18,18,0
2020,1,18,19,0
2020,1,18,20,0
2020,1,18,21,0
2020,1,18,22,0
2020,1,18,23,0
2020,1,18,24,0
2020,1,19,1,0
2020,1,19,2,0
2020,1,19,3,0
2020,1,19,4,0
2020,1,19,5,0
2020,1,19,6,0
2020,1,19,7,0
2020,1,19,8,0
2020,1,19,9,0
2020,1,19,10,17.6
2020,1,19,11,344.7
2020,1,19,12,357.4
2020,1,19,13,356
2020,1,19,14,339.1
2020,1,19,15,296.4
2020,1,19,16,208.4
2020,1,19,17,0
2020,1,19,18,0
2020,1,19,19,0
2020,1,19,20,0
2020,1,19,21,0
2020,1,19,22,0
2020,1,19,23,0
2020,1,19,24,0
2020,1,20,1,0
2020,1,20,2,0
2020,1,20,3,0
2020,1,20,4,0
2020,1,20,5,0
2020,1,20,6,0
2020,1,20,7,0
2020,1,20,8,0
2020,1,20,9,165
2020,1,20,10,324
2020,1,20,11,356.6
2020,1,20,12,368.6
2020,1,20,13,366.1
2020,1,20,14,348.5
2020,1,20,15,305.6
2020,1,20,16,217.5
2020,1,20,17,0
2020,1,20,18,0
2020,1,20,19,0
2020,1,20,20,0
2020,1,20,21,0
2020,1,20,22,0
2020,1,20,23,0
2020,1,20,24,0
2020,1,21,1,0
2020,1,21,2,0
2020,1,21,3,0
2020,1,21,4,0
2020,1,21,5,0
2020,1,21,6,0
2020,1,21,7,0
2020,1,21,8,0
2020,1,21,9,165.1
2020,1,21,10,323.2
2020,1,21,11,355
2020,1,21,12,367.1
2020,1,21,13,364.8
2020,1,21,14,347.4
2020,1,21,15,305.3
2020,1,21,16,218.5
2020,1,21,17,0
2020,1,21,18,0
2020,1,21,19,0
2020,1,21,20,0
2020,1,21,21,0
2020,1,21,22,0
2020,1,21,23,0
2020,1,21,24,0
2020,1,22,1,0
2020,1,22,2,0
2020,1,22,3,0
2020,1,22,4,0
2020,1,22,5,0
2020,1,22,6,0
2020,1,22,7,0
2020,1,22,8,0
2020,1,22,9,0
2020,1,22,10,0
2020,1,22,11,4.3
2020,1,22,12,0
2020,1,22,13,72.6
2020,1,22,14,340.2
2020,1,22,15,299.3
2020,1,22,16,214.8
2020,1,22,17,0
2020,1,22,18,0
2020,1,22,19,0
2020,1,22,20,0
2020,1,22,21,0
2020,1,22,22,0
2020,1,22,23,0
2020,1,22,24,0
2020,1,23,1,0
2020,1,23,2,0
2020,1,23,3,0
2020,1,23,4,0
2020,1,23,5,0
2020,1,23,6,0
2020,1,23,7,0
2020,1,23,8,0
2020,1,23,9,169.4
2020,1,23,10,327.2
2020,1,23,11,358.7
2020,1,23,12,370.5
2020,1,23,13,368.9
2020,1,23,14,352.1
2020,1,23,15,311.4
2020,1,23,16,226.8
2020,1,23,17,0
2020,1,23,18,0
2020,1,23,19,0
2020,1,23,20,0
2020,1,23,21,0
2020,1,23,22,0
2020,1,23,23,0
2020,1,23,24,0
2020,1,24,1,0
2020,1,24,2,0
2020,1,24,3,0
2020,1,24,4,0
2020,1,24,5,0
2020,1,24,6,0
2020,1,24,7,0
2020,1,24,8,0
2020,1,24,9,23.1
2020,1,24,10,294.6
2020,1,24,11,317.9
2020,1,24,12,361
2020,1,24,13,130.3
2020,1,24,14,123.2
2020,1,24,15,301.4
2020,1,24,16,219.5
2020,1,24,17,0
2020,1,24,18,0
2020,1,24,19,0
2020,1,24,20,0
2020,1,24,21,0
2020,1,24,22,0
2020,1,24,23,0
2020,1,24,24,0
2020,1,25,1,0
2020,1,25,2,0
2020,1,25,3,0
2020,1,25,4,0
2020,1,25,5,0
2020,1,25,6,0
2020,1,25,7,0
2020,1,25,8,0
2020,1,25,9,163.4
2020,1,25,10,319
2020,1,25,11,349.8
2020,1,25,12,361.1
2020,1,25,13,358.5
2020,1,25,14,342.3
2020,1,25,15,303.4
2020,1,25,16,222.7
2020,1,25,17,0
2020,1,25,18,0
2020,1,25,19,0
2020,1,25,20,0
2020,1,25,21,0
2020,1,25,22,0
2020,1,25,23,0
2020,1,25,24,0
2020,1,26,1,0
2020,1,26,2,0
2020,1,26,3,0
2020,1,26,4,0
2020,1,26,5,0
2020,1,26,6,0
2020,1,26,7,0
2020,1,26,8,0
2020,1,26,9,67.6
2020,1,26,10,113
2020,1,26,11,344.1
2020,1,26,12,355.9
2020,1,26,13,354.2
2020,1,26,14,338.4
2020,1,26,15,299.9
2020,1,26,16,220.2
2020,1,26,17,0
2020,1,26,18,0
2020,1,26,19,0
2020,1,26,20,0
2020,1,26,21,0
2020,1,26,22,0
2020,1,26,23,0
2020,1,26,24,0
2020,1,27,1,0
2020,1,27,2,0
2020,1,27,3,0
2020,1,27,4,0
2020,1,27,5,0
2020,1,27,6,0
2020,1,27,7,0
2020,1,27,8,22.5
2020,1,27,9,250.8
2020,1,27,10,317.2
2020,1,27,11,348.3
2020,1,27,12,360.2
2020,1,27,13,358.8
2020,1,27,14,343.3
2020,1,27,15,305.9
2020,1,27,16,227.2
2020,1,27,17,0
2020,1,27,18,0
2020,1,27,19,0
2020,1,27,20,0
2020,1,27,21,0
2020,1,27,22,0
2020,1,27,23,0
2020,1,27,24,0
2020,1,28,1,0
2020,1,28,2,0
2020,1,28,3,0
2020,1,28,4,0
2020,1,28,5,0
2020,1,28,6,0
2020,1,28,7,0
2020,1,28,8,0
2020,1,28,9,95.8
2020,1,28,10,261
2020,1,28,11,191.3
2020,1,28,12,222.9
2020,1,28,13,117.7
2020,1,28,14,103.1
2020,1,28,15,282.2
2020,1,28,16,0
2020,1,28,17,0
2020,1,28,18,0
2020,1,28,19,0
2020,1,28,20,0
2020,1,28,21,0
2020,1,28,22,0
2020,1,28,23,0
2020,1,28,24,0
2020,1,29,1,0
2020,1,29,2,0
2020,1,29,3,0
2020,1,29,4,0
2020,1,29,5,0
2020,1,29,6,0
2020,1,29,7,0
2020,1,29,8,0
2020,1,29,9,16.4
2020,1,29,10,312.1
2020,1,29,11,342.2
2020,1,29,12,354.2
2020,1,29,13,352.9
2020,1,29,14,337.6
2020,1,29,15,301.1
2020,1,29,16,145.9
2020,1,29,17,0
2020,1,29,18,0
2020,1,29,19,0
2020,1,29,20,0
2020,1,29,21,0
2020,1,29,22,0
2020,1,29,23,0
2020,1,29,24,0
2020,1,30,1,0
2020,1,30,2,0
2020,1,30,3,0
2020,1,30,4,0
2020,1,30,5,0
2020,1,30,6,0
2020,1,30,7,0
2020,1,30,8,25.5
2020,1,30,9,250.1
2020,1,30,10,314.8
2020,1,30,11,344.4
2020,1,30,12,355.8
2020,1,30,13,353.7
2020,1,30,14,338.2
2020,1,30,15,302.1
2020,1,30,16,226.9
2020,1,30,17,0
2020,1,30,18,0
2020,1,30,19,0
2020,1,30,20,0
2020,1,30,21,0
2020,1,30,22,0
2020,1,30,23,0
2020,1,30,24,0
2020,1,31,1,0
2020,1,31,2,0
2020,1,31,3,0
2020,1,31,4,0
2020,1,31,5,0
2020,1,31,6,0
2020,1,31,7,0
2020,1,31,8,28.1
2020,1,31,9,251.4
2020,1,31,10,315.6
2020,1,31,11,346.5
2020,1,31,12,359
2020,1,31,13,359.4
2020,1,31,14,346.2
2020,1,31,15,310.4
2020,1,31,16,234.9
2020,1,31,17,0
2020,1,31,18,0
2020,1,31,19,0
2020,1,31,20,0
2020,1,31,21,0
2020,1,31,22,0
2020,1,31,23,0
2020,1,31,24,0
2020,2,1,1,0
2020,2,1,2,0
2020,2,1,3,0
2020,2,1,4,0
2020,2,1,5,0
2020,2,1,6,0
2020,2,1,7,0
2020,2,1,8,8.1
2020,2,1,9,115.6
2020,2,1,10,316.6
2020,2,1,11,346.3
2020,2,1,12,358.2
2020,2,1,13,357.1
2020,2,1,14,342.6
2020,2,1,15,307.9
2020,2,1,16,234.5
2020,2,1,17,0
2020,2,1,18,0
2020,2,1,19,0
2020,2,1,20,0
2020,2,1,21,0
2020,2,1,22,0
2020,2,1,23,0
2020,2,1,24,0
2020,2,2,1,0
2020,2,2,2,0
2020,2,2,3,0
2020,2,2,4,0
2020,2,2,5,0
2020,2,2,6,0
2020,2,2,7,0
2020,2,2,8,0
2020,2,2,9,0
2020,2,2,10,301
2020,2,2,11,346.6
2020,2,2,12,357.2
2020,2,2,13,355.3
2020,2,2,14,340.6
2020,2,2,15,305.5
2020,2,2,16,107.3
2020,2,2,17,0
2020,2,2,18,0
2020,2,2,19,0
2020,2,2,20,0
2020,2,2,21,0
2020,2,2,22,0
2020,2,2,23,0
2020,2,2,24,0
2020,2,3,1,0
2020,2,3,2,0
2020,2,3,3,0
2020,2,3,4,0
2020,2,3,5,0
2020,2,3,6,0
2020,2,3,7,0
2020,2,3,8,0
2020,2,3,9,172.7
2020,2,3,10,324.2
2020,2,3,11,353.9
2020,2,3,12,365.8
2020,2,3,13,365.1
2020,2,3,14,351
2020,2,3,15,316.9
2020,2,3,16,244.1
2020,2,3,17,0
2020,2,3,18,0
2020,2,3,19,0
2020,2,3,20,0
2020,2,3,21,0
2020,2,3,22,0
2020,2,3,23,0
2020,2,3,24,0
2020,2,4,1,0
2020,2,4,2,0
2020,2,4,3,0
2020,2,4,4,0
2020,2,4,5,0
2020,2,4,6,0
2020,2,4,7,0
2020,2,4,8,0
2020,2,4,9,166.2
2020,2,4,10,328.6
2020,2,4,11,242
2020,2,4,12,251.2
2020,2,4,13,217.8
2020,2,4,14,239.4
2020,2,4,15,224.5
2020,2,4,16,148.8
2020,2,4,17,0
2020,2,4,18,0
2020,2,4,19,0
2020,2,4,20,0
2020,2,4,21,0
2020,2,4,22,0
2020,2,4,23,0
2020,2,4,24,0
2020,2,5,1,0
2020,2,5,2,0
2020,2,5,3,0
2020,2,5,4,0
2020,2,5,5,0
2020,2,5,6,0
2020,2,5,7,0
2020,2,5,8,0
2020,2,5,9,0
2020,2,5,10,247.9
2020,2,5,11,366.1
2020,2,5,12,378.5
2020,2,5,13,378.2
2020,2,5,14,365
2020,2,5,15,331.7
2020,2,5,16,259.9
2020,2,5,17,0
2020,2,5,18,0
2020,2,5,19,0
2020,2,5,20,0
2020,2,5,21,0
2020,2,5,22,0
2020,2,5,23,0
2020,2,5,24,0
2020,2,6,1,0
2020,2,6,2,0
2020,2,6,3,0
2020,2,6,4,0
2020,2,6,5,0
2020,2,6,6,0
2020,2,6,7,0
2020,2,6,8,61.3
2020,2,6,9,156.1
2020,2,6,10,344.6
2020,2,6,11,372.6
2020,2,6,12,383.1
2020,2,6,13,381.6
2020,2,6,14,255
2020,2,6,15,231.6
2020,2,6,16,197.9
2020,2,6,17,0
2020,2,6,18,0
2020,2,6,19,0
2020,2,6,20,0
2020,2,6,21,0
2020,2,6,22,0
2020,2,6,23,0
2020,2,6,24,0
2020,2,7,1,0
2020,2,7,2,0
2020,2,7,3,0
2020,2,7,4,0
2020,2,7,5,0
2020,2,7,6,0
2020,2,7,7,0
2020,2,7,8,0
2020,2,7,9,219.3
2020,2,7,10,346.2
2020,2,7,11,373.7
2020,2,7,12,384.2
2020,2,7,13,382.4
2020,2,7,14,368
2020,2,7,15,334.4
2020,2,7,16,137.4
2020,2,7,17,0
2020,2,7,18,0
2020,2,7,19,0
2020,2,7,20,0
2020,2,7,21,0
2020,2,7,22,0
2020,2,7,23,0
2020,2,7,24,0
2020,2,8,1,0
2020,2,8,2,0
2020,2,8,3,0
2020,2,8,4,0
2020,2,8,5,0
2020,2,8,6,0
2020,2,8,7,0
2020,2,8,8,62.2
2020,2,8,9,278.4
2020,2,8,10,337.5
2020,2,8,11,364.4
2020,2,8,12,374.8
2020,2,8,13,373.4
2020,2,8,14,359.3
2020,2,8,15,327.1
2020,2,8,16,257.9
2020,2,8,17,0
2020,2,8,18,0
2020,2,8,19,0
2020,2,8,20,0
2020,2,8,21,0
2020,2,8,22,0
2020,2,8,23,0
2020,2,8,24,0
2020,2,9,1,0
2020,2,9,2,0
2020,2,9,3,0
2020,2,9,4,0
2020,2,9,5,0
2020,2,9,6,0
2020,2,9,7,0
2020,2,9,8,65.4
2020,2,9,9,280.7
2020,2,9,10,339.5
2020,2,9,11,366.4
2020,2,9,12,376.9
2020,2,9,13,375.5
2020,2,9,14,362.2
2020,2,9,15,331
2020,2,9,16,263.3
2020,2,9,17,0
2020,2,9,18,0
2020,2,9,19,0
2020,2,9,20,0
2020,2,9,21,0
2020,2,9,22,0
2020,2,9,23,0
2020,2,9,24,0
2020,2,10,1,0
2020,2,10,2,0
2020,2,10,3,0
2020,2,10,4,0
2020,2,10,5,0
2020,2,10,6,0
2020,2,10,7,0
2020,2,10,8,67.5
2020,2,10,9,281.3
2020,2,10,10,339.8
2020,2,10,11,366.7
2020,2,10,12,377.3
2020,2,10,13,376.2
2020,2,10,14,362.6
2020,2,10,15,331.2
2020,2,10,16,264
2020,2,10,17,117.7
2020,2,10,18,0
2020,2,10,19,0
2020,2,10,20,0
2020,2,10,21,0
2020,2,10,22,0
2020,2,10,23,0
2020,2,10,24,0
2020,2,11,1,0
2020,2,11,2,0
2020,2,11,3,0
2020,2,11,4,0
2020,2,11,5,0
2020,2,11,6,0
2020,2,11,7,0
2020,2,11,8,76.4
2020,2,11,9,290.2
2020,2,11,10,348.7
2020,2,11,11,375.4
2020,2,11,12,386.5
2020,2,11,13,385.9
2020,2,11,14,373
2020,2,11,15,341.8
2020,2,11,16,274.2
2020,2,11,17,126.6
2020,2,11,18,0
2020,2,11,19,0
2020,2,11,20,0
2020,2,11,21,0
2020,2,11,22,0
2020,2,11,23,0
2020,2,11,24,0
2020,2,12,1,0
2020,2,12,2,0
2020,2,12,3,0
2020,2,12,4,0
2020,2,12,5,0
2020,2,12,6,0
2020,2,12,7,0
2020,2,12,8,77.1
2020,2,12,9,286.9
2020,2,12,10,342.9
2020,2,12,11,368.4
2020,2,12,12,378.1
2020,2,12,13,376.3
2020,2,12,14,362
2020,2,12,15,329.9
2020,2,12,16,262.6
2020,2,12,17,0
2020,2,12,18,0
2020,2,12,19,0
2020,2,12,20,0
2020,2,12,21,0
2020,2,12,22,0
2020,2,12,23,0
2020,2,12,24,0
2020,2,13,1,0
2020,2,13,2,0
2020,2,13,3,0
2020,2,13,4,0
2020,2,13,5,0
2020,2,13,6,0
2020,2,13,7,0
2020,2,13,8,0
2020,2,13,9,217.1
2020,2,13,10,183.2
2020,2,13,11,299.3
2020,2,13,12,378.4
2020,2,13,13,378.1
2020,2,13,14,366.4
2020,2,13,15,336.6
2020,2,13,16,125
2020,2,13,17,0
2020,2,13,18,0
2020,2,13,19,0
2020,2,13,20,0
2020,2,13,21,0
2020,2,13,22,0
2020,2,13,23,0
2020,2,13,24,0
2020,2,14,1,0
2020,2,14,2,0
2020,2,14,3,0
2020,2,14,4,0
2020,2,14,5,0
2020,2,14,6,0
2020,2,14,7,0
2020,2,14,8,0
2020,2,14,9,0
2020,2,14,10,71.8
2020,2,14,11,179.3
2020,2,14,12,0
2020,2,14,13,0
2020,2,14,14,269
2020,2,14,15,328.1
2020,2,14,16,264.1
2020,2,14,17,125.3
2020,2,14,18,0
2020,2,14,19,0
2020,2,14,20,0
2020,2,14,21,0
2020,2,14,22,0
2020,2,14,23,0
2020,2,14,24,0
2020,2,15,1,0
2020,2,15,2,0
2020,2,15,3,0
2020,2,15,4,0
2020,2,15,5,0
2020,2,15,6,0
2020,2,15,7,0
2020,2,15,8,77.6
2020,2,15,9,280.2
2020,2,15,10,333.4
2020,2,15,11,358.7
2020,2,15,12,369.3
2020,2,15,13,369
2020,2,15,14,357.1
2020,2,15,15,329.1
2020,2,15,16,268
2020,2,15,17,131.9
2020,2,15,18,0
2020,2,15,19,0
2020,2,15,20,0
2020,2,15,21,0
2020,2,15,22,0
2020,2,15,23,0
2020,2,15,24,0
2020,2,16,1,0
2020,2,16,2,0
2020,2,16,3,0
2020,2,16,4,0
2020,2,16,5,0
2020,2,16,6,0
2020,2,16,7,0
2020,2,16,8,96.5
2020,2,16,9,301.3
2020,2,16,10,355.8
2020,2,16,11,380.8
2020,2,16,12,391.1
2020,2,16,13,389.3
2020,2,16,14,375.4
2020,2,16,15,306.6
2020,2,16,16,223.5
2020,2,16,17,0
2020,2,16,18,0
2020,2,16,19,0
2020,2,16,20,0
2020,2,16,21,0
2020,2,16,22,0
2020,2,16,23,0
2020,2,16,24,0
2020,2,17,1,0
2020,2,17,2,0
2020,2,17,3,0
2020,2,17,4,0
2020,2,17,5,0
2020,2,17,6,0
2020,2,17,7,0
2020,2,17,8,0
2020,2,17,9,124.5
2020,2,17,10,200.4
2020,2,17,11,368.8
2020,2,17,12,378.9
2020,2,17,13,377.1
2020,2,17,14,363.8
2020,2,17,15,334.3
2020,2,17,16,272
2020,2,17,17,137.3
2020,2,17,18,0
2020,2,17,19,0
2020,2,17,20,0
2020,2,17,21,0
2020,2,17,22,0
2020,2,17,23,0
2020,2,17,24,0
2020,2,18,1,0
2020,2,18,2,0
2020,2,18,3,0
2020,2,18,4,0
2020,2,18,5,0
2020,2,18,6,0
2020,2,18,7,0
2020,2,18,8,0
2020,2,18,9,0
2020,2,18,10,0
2020,2,18,11,276.1
2020,2,18,12,375.9
2020,2,18,13,184.3
2020,2,18,14,182.1
2020,2,18,15,333.6
2020,2,18,16,271.9
2020,2,18,17,0
2020,2,18,18,0
2020,2,18,19,0
2020,2,18,20,0
2020,2,18,21,0
2020,2,18,22,0
2020,2,18,23,0
2020,2,18,24,0
2020,2,19,1,0
2020,2,19,2,0
2020,2,19,3,0
2020,2,19,4,0
2020,2,19,5,0
2020,2,19,6,0
2020,2,19,7,0
2020,2,19,8,0
2020,2,19,9,0
2020,2,19,10,0
2020,2,19,11,68.7
2020,2,19,12,372.9
2020,2,19,13,371.3
2020,2,19,14,0
2020,2,19,15,45.7
2020,2,19,16,0
2020,2,19,17,0
2020,2,19,18,0
2020,2,19,19,0
2020,2,19,20,0
2020,2,19,21,0
2020,2,19,22,0
2020,2,19,23,0
2020,2,19,24,0
2020,2,20,1,0
2020,2,20,2,0
2020,2,20,3,0
2020,2,20,4,0
2020,2,20,5,0
2020,2,20,6,0
