Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020,3,5,63,63,63,63,63,65,70,70,71,68,64,69,76,76,72,76,72,44,42,42,44,49,38,40
2020,3,6,45,46,59,60,57,56,58,80,85,78,74,74,73,73,61,67,47,45,48,50,49,52,48,47
2020,3,7,48,51,55,59,61,63,67,68,69,60,54,57,52,51,44,49,43,36,40,48,62,66,65,64
2020,3,8,64,63,63,63,63,64,68,68,69,80,80,80,74,73,73,85,67,66,68,68,67,66,62,56
2020,3,9,63,63,62,62,63,65,91,75,76,76,76,82,75,81,94,85,85,69,71,70,69,67,65,64
2020,3,10,63,63,60,58,64,65,70,74,82,91,94,94,94,94,93,80,82,68,70,70,69,66,65,58
2020,3,11,57,52,52,47,48,50,56,57,58,60,59,69,76,76,73,72,72,68,71,60,55,53,51,49
2020,3,12,48,47,47,48,48,51,57,57,59,59,59,64,65,66,65,87,62,63,71,69,69,68,66,64
2020,3,13,63,62,61,58,59,61,61,68,83,73,77,77,76,77,75,63,78,46,45,52,51,49,49,48
2020,3,14,49,49,52,50,52,52,67,66,87,81,82,80,78,77,66,70,56,44,46,46,49,48,50,50
2020,3,15,50,53,55,56,60,62,67,66,67,63,60,67,86,93,90,86,75,39,41,45,45,39,36,35
2020,3,16,35,38,41,37,43,43,51,50,50,49,47,53,56,59,56,54,54,44,48,51,67,68,66,65
2020,3,17,64,64,64,64,65,67,72,72,72,64,53,50,56,83,80,67,62,52,47,49,48,46,56,55
2020,3,18,49,60,60,63,63,65,70,70,71,69,69,70,71,71,69,71,69,52,52,63,64,67,65,64
2020,3,19,63,62,62,62,63,65,70,70,71,69,68,75,73,73,75,72,72,67,69,69,68,67,65,64
2020,3,20,60,53,37,47,50,46,49,52,73,78,77,77,77,76,61,77,61,40,42,45,56,56,56,62
2020,3,21,61,59,59,51,45,37,51,63,68,70,79,88,92,92,90,81,90,50,49,57,62,61,61,60
2020,3,22,54,46,44,45,45,46,58,68,80,76,78,81,80,75,76,64,46,41,45,47,51,51,51,52
2020,3,23,52,47,41,40,40,49,59,67,82,78,76,83,81,82,77,77,62,42,47,48,47,49,60,60
2020,3,24,59,55,49,46,44,41,46,47,47,46,47,54,53,53,49,49,51,67,64,67,68,68,66,65
2020,3,25,64,64,64,64,64,64,68,67,59,54,57,65,63,59,53,51,49,41,44,52,69,67,65,64
2020,3,26,63,63,63,63,64,65,70,70,71,71,71,70,66,66,66,60,68,67,69,69,66,62,56,59
2020,3,27,63,63,57,54,54,58,66,70,69,65,71,76,77,77,76,70,72,64,53,48,64,65,61,57
2020,3,28,39,49,50,36,31,31,40,41,58,70,78,78,79,78,76,64,63,48,58,65,66,65,65,58
2020,3,29,51,60,61,52,54,52,55,58,63,67,66,74,74,74,70,70,70,40,44,46,46,40,34,36
2020,3,30,58,62,62,62,63,64,76,78,71,67,62,65,86,85,84,69,58,51,52,57,68,67,65,64
2020,3,31,63,63,63,63,58,64,69,63,69,79,74,73,75,67,63,66,63,43,47,56,55,54,47,43
2020,4,1,33,35,35,31,36,37,52,57,66,79,81,78,81,83,75,83,84,67,70,71,70,66,64,64
2020,4,2,63,63,63,62,62,69,69,71,71,67,57,60,61,57,52,53,49,57,47,47,46,65,62,59
2020,4,3,45,44,61,63,63,67,75,77,93,93,89,82,79,78,78,80,62,39,43,43,47,58,56,54
2020,4,4,62,63,61,60,57,73,86,69,84,57,86,92,92,93,94,64,72,64,64,64,65,62,64,63
2020,4,5,61,54,54,53,51,58,63,65,56,55,54,55,57,56,49,48,50,47,47,56,66,65,64,63
2020,4,6,59,53,48,46,49,56,72,79,80,78,70,65,74,74,69,66,61,69,72,71,69,66,61,60
2020,4,7,63,61,61,62,58,46,56,60,60,61,62,78,78,79,80,77,77,45,49,50,55,54,41,43
2020,4,8,41,39,36,49,53,64,70,71,91,89,89,84,81,84,83,86,73,68,70,71,69,62,53,50
2020,4,9,48,47,47,48,49,56,59,59,62,66,66,69,71,69,65,68,76,91,65,66,65,55,51,48
2020,4,10,46,34,31,32,33,42,44,46,47,48,48,48,56,57,59,52,56,78,43,44,42,58,63,63
2020,4,11,63,62,61,61,58,56,49,52,68,70,71,71,64,67,64,64,75,90,68,68,67,66,64,64
2020,4,12,63,63,63,63,63,67,67,68,68,68,64,59,65,61,84,49,68,80,41,42,41,46,46,45
2020,4,13,45,50,47,50,54,60,66,75,94,79,79,92,92,91,91,78,76,55,44,46,47,45,42,36
2020,4,14,35,40,39,41,43,53,66,81,82,81,80,82,78,78,78,63,78,41,47,48,57,56,56,56
2020,4,15,60,63,63,63,64,69,69,71,71,69,73,75,71,70,71,72,74,76,69,69,69,67,65,64
2020,4,16,64,63,61,61,62,63,65,69,73,74,75,80,81,82,83,80,77,78,69,63,69,66,63,63
2020,4,17,63,63,63,63,64,69,73,82,83,92,99,96,96,96,100,87,87,77,69,69,68,65,65,64
2020,4,18,63,63,63,63,63,65,60,49,64,76,84,89,90,89,87,74,84,93,68,68,67,66,49,51
2020,4,19,47,50,47,47,50,57,63,79,79,77,71,58,57,51,50,75,56,75,38,39,40,45,48,59
2020,4,20,62,63,63,63,63,68,69,71,71,72,72,75,76,76,76,71,73,72,62,66,61,62,59,59
2020,4,21,56,54,49,45,47,56,53,55,47,47,48,55,55,56,55,50,50,54,44,47,46,53,60,61
2020,4,22,63,61,60,60,61,65,65,68,57,49,49,56,56,57,57,52,51,55,44,47,47,47,59,60
2020,4,23,59,60,60,60,57,61,66,69,62,55,53,58,59,59,60,56,59,57,46,48,60,67,65,53
2020,4,24,62,63,63,63,64,68,69,71,82,71,71,72,71,73,74,70,72,74,66,70,69,68,65,64
2020,4,25,63,63,63,62,61,64,63,75,81,87,89,96,96,96,96,84,95,75,66,66,64,66,63,61
2020,4,26,60,62,63,63,63,67,68,69,69,70,70,74,74,74,74,94,94,74,65,69,61,57,51,52
2020,4,27,53,53,54,55,56,64,66,71,72,72,71,74,68,62,57,51,57,54,44,46,41,41,35,37
2020,4,28,48,54,55,61,63,68,69,80,73,76,70,75,70,68,65,60,76,56,46,47,43,38,34,32
2020,4,29,31,31,32,32,41,53,60,81,78,77,76,81,82,85,91,96,95,78,70,69,69,67,65,64
2020,4,30,64,63,62,60,61,70,79,91,84,84,79,75,84,79,78,79,78,55,43,45,41,37,34,32
2020,5,1,30,29,30,31,32,42,50,61,61,61,47,54,54,54,54,49,49,54,43,42,43,40,38,33
2020,5,2,32,32,32,31,32,43,44,65,69,55,59,60,62,59,70,67,66,67,61,65,61,63,65,64
2020,5,3,63,63,62,63,63,67,67,69,69,67,68,72,68,65,65,60,59,59,46,47,49,49,61,59
2020,5,4,52,44,34,36,54,68,70,71,71,73,74,76,82,82,83,80,80,74,65,69,72,66,64,65
2020,5,5,64,64,64,64,64,69,71,71,63,59,58,65,66,69,68,64,62,62,50,49,46,42,37,35
2020,5,6,34,39,46,48,52,61,65,66,55,55,57,63,64,62,63,59,60,73,69,71,71,68,66,65
2020,5,7,64,64,63,64,64,69,73,90,76,81,72,76,71,70,70,62,60,68,56,56,57,54,47,42
2020,5,8,42,48,47,46,39,46,52,74,73,49,49,56,56,56,57,52,52,62,55,51,56,64,65,63
2020,5,9,63,63,63,63,63,67,68,70,71,71,71,75,77,78,78,75,75,78,69,70,69,67,66,62
2020,5,10,56,57,62,63,58,58,59,59,60,60,62,68,70,73,75,71,76,69,60,67,65,54,52,65
2020,5,11,63,61,61,63,64,69,70,72,70,69,70,78,81,83,82,79,78,80,71,72,72,70,67,65
2020,5,12,64,63,62,62,63,67,69,67,58,55,54,61,62,62,64,61,59,61,48,49,46,42,37,34
2020,5,13,32,32,32,32,32,43,50,53,52,56,57,61,62,64,64,60,60,63,51,56,53,50,51,56
2020,5,14,50,44,51,59,62,66,67,71,71,64,59,63,64,67,74,73,72,83,75,74,72,69,66,65
2020,5,15,64,64,64,64,64,69,71,72,69,68,66,74,78,83,84,81,80,79,68,65,65,68,65,63
2020,5,16,61,52,42,36,35,43,45,47,50,52,54,61,63,64,65,61,61,63,51,51,48,44,40,40
2020,5,17,39,37,34,33,33,40,42,46,46,49,51,60,62,64,65,62,61,64,52,52,49,44,40,40
2020,5,18,38,40,39,44,45,54,56,59,55,58,60,69,72,74,73,69,67,68,58,59,55,51,51,52
2020,5,19,54,61,57,58,57,60,52,61,61,63,62,65,67,68,70,66,63,64,52,52,50,48,46,59
2020,5,20,57,51,48,45,39,49,54,67,68,70,72,84,86,88,96,84,84,90,58,58,55,49,46,44
2020,5,21,46,65,63,60,63,67,57,60,57,61,63,74,79,80,88,78,79,88,79,79,76,73,70,66
2020,5,22,67,66,65,65,65,71,73,71,67,76,82,87,88,90,90,88,84,82,57,55,52,47,43,54
2020,5,23,62,65,65,64,64,69,70,72,74,76,75,81,81,79,77,73,80,75,63,58,53,48,45,42
2020,5,24,43,37,36,37,37,59,50,63,49,51,53,55,63,63,81,76,86,92,56,64,57,52,43,44
2020,5,25,35,33,44,49,50,64,70,52,49,71,63,79,80,57,59,76,85,71,66,70,69,67,63,64
2020,5,26,63,63,63,63,60,50,52,48,56,67,58,60,63,64,64,69,64,70,50,52,53,50,43,39
2020,5,27,39,40,32,32,35,43,57,63,64,60,63,79,84,85,84,84,81,87,79,78,76,72,69,67
2020,5,28,66,65,65,64,64,67,64,54,56,60,64,72,75,80,81,80,83,80,65,75,74,70,66,66
2020,5,29,66,65,65,65,64,65,70,75,77,78,79,84,82,77,80,78,78,68,62,64,61,62,65,66
2020,5,30,65,64,64,61,65,66,66,65,67,69,69,75,75,75,75,65,70,77,68,69,69,66,60,56
2020,5,31,51,48,48,48,54,56,62,69,70,71,71,76,76,77,77,74,74,77,68,69,68,67,65,64
2020,6,1,62,60,59,59,66,66,67,68,69,67,65,66,65,66,66,61,61,57,42,43,44,46,40,34
2020,6,2,36,41,37,32,39,40,43,45,48,50,52,59,61,63,64,60,60,62,49,49,49,60,64,64
2020,6,3,64,63,63,63,67,68,71,72,72,73,73,69,69,71,72,77,72,71,58,57,63,68,67,66
2020,6,4,65,64,63,62,67,65,54,50,51,54,58,65,68,72,74,72,77,81,70,78,76,70,69,67
2020,6,5,66,64,62,56,47,43,48,50,55,59,63,78,81,80,90,79,78,86,77,77,74,75,71,69
2020,6,6,67,65,65,65,68,67,68,56,55,59,62,70,72,74,76,73,76,73,60,58,56,58,52,49
2020,6,7,50,55,59,51,58,58,70,73,76,79,75,82,85,86,87,86,89,91,82,81,78,75,72,70
2020,6,8,68,67,66,66,70,70,71,67,58,60,62,70,72,74,76,74,73,74,62,60,57,52,46,42
2020,6,9,41,39,38,38,46,56,59,56,57,59,62,69,71,72,89,84,79,70,58,58,58,54,57,62
2020,6,10,61,51,47,56,64,70,69,66,62,62,62,83,84,85,85,65,67,64,52,64,71,70,68,58
2020,6,11,47,42,39,54,65,67,72,75,77,78,77,84,86,87,89,86,83,87,78,75,71,71,70,68
2020,6,12,66,64,61,57,60,63,63,55,55,56,59,66,68,69,71,67,65,68,55,55,59,68,69,65
2020,6,13,65,65,62,62,65,65,69,71,73,72,63,69,71,72,68,63,63,63,50,49,47,44,40,37
2020,6,14,34,34,34,33,39,38,40,43,46,49,51,59,61,62,63,60,60,59,50,50,49,45,40,39
2020,6,15,35,32,31,31,40,42,45,49,52,54,57,64,65,67,69,65,68,64,59,62,64,71,68,62
2020,6,16,50,60,55,50,54,58,51,65,77,69,59,67,69,69,70,78,83,82,77,77,64,68,65,63
2020,6,17,60,62,64,64,69,69,69,74,76,74,72,77,79,82,81,77,76,74,67,65,67,61,57,54
2020,6,18,54,55,58,59,64,63,61,74,76,78,79,84,86,87,88,85,85,83,76,76,74,72,69,67
2020,6,19,66,65,65,64,69,70,73,75,75,75,78,79,75,83,89,91,88,81,71,67,68,61,58,56
2020,6,20,55,62,65,65,69,69,70,60,63,60,63,68,69,71,72,70,69,73,59,56,53,49,48,41
2020,6,21,43,41,39,35,41,43,45,48,50,54,58,66,69,71,73,71,74,71,60,62,74,75,72,69
2020,6,22,68,67,66,66,70,72,75,77,79,81,82,87,89,88,89,85,81,86,81,81,79,76,72,70
2020,6,23,67,65,63,65,70,71,74,66,68,68,68,73,76,79,80,81,77,70,62,62,60,63,69,67
2020,6,24,65,63,65,64,67,68,70,63,64,61,62,69,72,74,76,73,72,74,75,59,56,53,65,65
2020,6,25,62,51,40,41,51,52,56,56,59,61,64,71,73,76,79,80,84,76,74,63,61,60,69,69
2020,6,26,66,51,46,46,53,54,58,56,57,61,64,72,75,77,78,75,74,74,61,60,57,52,48,44
2020,6,27,42,41,38,37,45,44,46,51,55,59,67,77,88,97,90,81,82,89,61,60,58,55,53,50
2020,6,28,46,46,51,49,53,50,52,55,58,62,64,72,74,76,93,84,73,74,63,62,59,56,54,50
2020,6,29,46,51,49,45,53,53,56,61,61,65,69,75,79,82,82,81,76,70,63,62,59,54,49,46
2020,6,30,45,45,43,41,52,51,54,59,59,62,65,72,74,75,76,82,83,73,62,62,69,73,70,63
2020,7,1,61,66,67,67,71,72,75,75,75,81,81,91,96,94,102,87,85,78,64,63,66,57,50,53
2020,7,2,67,68,67,67,72,63,56,57,59,62,66,75,95,98,106,97,109,94,64,63,68,69,60,51
2020,7,3,46,44,41,41,48,49,53,55,59,63,67,74,77,79,95,79,78,76,64,62,60,56,51,53
2020,7,4,57,51,50,47,47,53,53,56,57,61,69,73,75,77,78,74,73,74,62,61,59,55,51,62
2020,7,5,60,53,46,40,38,44,47,51,55,58,62,69,71,73,74,70,70,72,61,60,59,54,60,68
2020,7,6,60,58,56,58,63,62,57,60,58,60,63,66,72,73,73,70,69,71,59,58,59,55,51,55
2020,7,7,48,43,43,41,39,59,47,50,52,55,58,61,68,69,86,69,79,75,67,73,75,74,71,69
2020,7,8,67,66,66,65,64,68,69,68,68,68,66,71,73,74,82,83,81,84,74,68,74,70,71,69
2020,7,9,63,62,63,63,63,68,70,68,68,69,70,75,78,78,85,87,88,89,79,80,78,75,72,70
2020,7,10,68,67,67,66,66,71,71,65,62,60,62,69,71,72,73,80,69,70,57,56,54,50,45,42
2020,7,11,40,38,36,36,35,42,46,49,53,57,61,69,71,73,74,71,70,71,59,58,55,51,47,44
2020,7,12,41,39,38,36,35,42,46,50,53,58,62,65,71,73,72,68,68,72,63,63,67,72,71,70
2020,7,13,68,67,66,66,66,72,74,77,78,79,80,86,90,92,94,92,91,90,83,80,77,76,72,70
2020,7,14,68,67,62,63,62,68,70,59,58,62,65,71,79,82,86,87,88,87,79,80,80,77,69,64
2020,7,15,66,66,67,67,67,72,75,75,70,71,79,88,91,94,96,97,94,92,85,84,82,75,67,60
2020,7,16,61,66,68,68,68,73,76,77,78,80,81,86,86,88,91,91,86,84,73,70,70,75,72,68
2020,7,17,68,69,69,68,68,73,75,66,66,69,72,80,85,90,92,91,90,90,80,77,74,71,64,65
2020,7,18,67,67,68,65,64,65,69,67,64,66,70,78,80,83,84,88,87,88,78,76,79,78,75,71
2020,7,19,67,68,66,64,61,65,63,56,57,61,65,73,75,77,79,76,75,76,65,65,63,59,56,70
2020,7,20,68,58,53,66,67,72,74,75,69,68,71,75,82,84,99,84,85,94,85,84,83,79,75,73
2020,7,21,71,70,69,69,69,74,86,83,70,69,70,78,81,83,85,81,80,80,73,72,69,61,67,68
2020,7,22,66,51,45,43,44,51,54,58,62,65,69,72,78,79,80,76,74,75,63,62,60,65,62,61
2020,7,23,62,60,53,46,45,52,55,58,60,64,67,75,78,80,96,91,89,98,65,64,62,57,53,50
2020,7,24,47,46,46,48,48,56,59,63,64,68,72,80,83,86,101,83,80,81,71,70,69,63,58,55
2020,7,25,50,48,51,52,51,55,70,74,76,67,70,76,78,94,102,79,78,79,68,67,65,62,59,58
2020,7,26,70,67,63,59,56,58,56,74,73,76,79,97,92,94,102,100,100,98,70,70,67,64,75,72
2020,7,27,70,68,68,70,69,80,97,99,94,95,88,84,87,91,103,87,86,91,81,78,85,84,79,76
2020,7,28,74,73,72,72,72,77,79,82,84,86,85,87,90,109,109,85,82,84,74,73,81,79,75,72
2020,7,29,67,64,66,67,68,73,74,72,67,70,72,74,82,84,86,95,102,95,66,66,66,62,66,60
2020,7,30,57,55,50,50,52,59,61,62,63,65,68,75,93,95,103,80,79,81,70,72,66,76,72,64
2020,7,31,71,70,70,70,70,75,77,89,91,84,85,90,92,94,95,103,101,91,81,80,78,76,73,70
2020,8,1,70,70,70,69,69,76,83,96,93,93,93,94,101,104,106,104,93,80,70,70,68,69,68,66
2020,8,2,72,71,70,69,69,76,84,97,99,100,97,97,101,104,106,99,99,79,63,62,59,67,67,62
2020,8,3,56,49,46,45,45,51,57,79,81,87,89,95,97,98,93,75,74,74,62,62,59,54,49,46
2020,8,4,46,43,44,44,44,54,58,64,65,67,68,74,76,78,79,76,74,81,75,76,67,75,72,67
2020,8,5,65,63,58,59,62,66,68,64,61,62,65,74,76,79,81,78,76,76,63,62,60,54,49,45
2020,8,6,48,44,42,41,42,50,53,57,60,62,65,72,73,75,77,74,72,72,60,59,56,52,50,63
2020,8,7,58,53,49,50,52,56,59,72,80,72,73,62,69,72,73,71,70,76,64,61,59,71,69,66
2020,8,8,63,55,49,47,47,51,53,55,53,57,59,67,69,70,71,68,68,69,57,57,53,49,46,43
2020,8,9,41,39,39,38,38,45,45,49,51,54,58,61,69,71,73,70,70,72,60,59,56,51,47,44
2020,8,10,41,40,39,39,43,50,52,56,59,63,67,79,78,81,82,86,84,79,66,66,79,75,74,68
2020,8,11,69,66,68,68,66,73,75,78,80,83,86,92,95,97,99,98,96,96,87,86,83,79,75,73
2020,8,12,71,70,69,69,70,74,75,76,68,67,70,77,80,83,100,82,79,82,73,72,69,69,63,58
2020,8,13,54,51,61,62,58,61,62,64,64,66,70,79,97,105,107,97,96,94,81,82,80,79,76,73
2020,8,14,71,70,70,70,70,75,76,80,82,85,86,87,87,100,100,84,80,79,66,64,63,74,73,70
2020,8,15,69,67,66,65,64,63,65,66,63,65,67,73,73,75,76,73,71,70,58,58,55,53,49,58
2020,8,16,58,54,51,50,52,52,53,56,55,56,60,68,70,73,74,71,70,72,61,61,57,52,47,45
2020,8,17,49,50,51,46,43,50,52,56,58,63,67,70,77,79,81,79,80,75,63,66,67,67,65,54
2020,8,18,53,61,66,67,68,76,75,87,74,71,71,74,75,77,81,79,80,75,65,63,69,68,71,70
2020,8,19,69,67,66,66,67,71,72,74,67,68,65,87,75,86,79,75,73,74,62,61,63,60,67,67
2020,8,20,68,68,67,67,68,73,75,77,78,80,80,80,76,75,77,75,76,72,61,59,55,50,45,48
2020,8,21,44,41,40,39,39,46,48,52,55,58,61,69,72,75,78,75,74,74,61,59,56,51,47,46
2020,8,22,45,44,40,39,39,47,48,51,54,58,61,69,71,74,76,73,73,73,61,60,55,51,47,44
2020,8,23,42,40,39,39,38,44,46,49,52,56,59,68,70,73,75,72,71,72,61,60,57,53,51,56
2020,8,24,57,54,53,54,60,62,58,58,61,64,68,77,81,85,90,87,86,87,79,81,80,77,73,71
2020,8,25,70,69,69,69,70,71,76,78,80,83,85,93,109,117,118,109,104,96,87,86,82,78,75,72
2020,8,26,69,63,64,66,67,72,75,78,73,78,79,100,112,117,119,106,97,96,86,82,83,79,73,73
2020,8,27,72,70,70,70,70,75,77,79,79,76,70,75,76,79,80,77,75,74,62,60,57,52,54,62
2020,8,28,58,56,49,50,52,59,62,69,68,70,68,73,76,79,79,76,73,74,62,59,56,52,49,46
2020,8,29,46,47,46,47,50,54,56,58,57,57,59,67,69,71,73,69,68,69,58,57,53,49,45,42
2020,8,30,40,39,37,37,37,43,44,48,51,54,58,66,70,73,75,72,71,72,61,58,54,50,52,55
2020,8,31,50,50,49,44,44,49,53,61,65,61,65,74,78,82,85,83,81,84,75,71,77,76,72,70
2020,9,1,69,67,62,60,68,73,74,78,80,83,86,88,94,96,98,95,94,94,86,84,81,78,74,71
2020,9,2,70,69,68,68,69,74,76,79,81,82,84,88,90,91,92,87,84,93,83,80,79,77,74,71
2020,9,3,69,68,66,64,61,65,65,64,62,64,67,74,77,79,80,77,76,78,68,65,62,59,55,53
2020,9,4,57,62,64,64,64,69,73,77,77,71,74,80,83,87,90,86,80,80,73,76,74,68,67,62
2020,9,5,59,49,44,44,43,48,51,60,65,62,64,72,74,76,77,73,72,72,61,60,58,56,55,50
2020,9,6,48,45,44,43,43,48,47,53,57,59,63,71,74,75,91,81,80,71,60,59,57,54,57,56
2020,9,7,54,52,56,53,57,67,67,61,61,61,65,71,89,99,96,95,88,73,63,63,58,55,63,68
2020,9,8,66,66,65,66,65,68,69,73,71,70,72,77,93,101,102,87,86,94,67,65,61,63,60,49
