GEN UID,Bus ID,Gen ID,Unit Group,Unit Type,Category,Fuel,Inc_Heat_Rate_0,Inc_Heat_Rate_1,Inc_Heat_Rate_2,Inc_Heat_Rate_3,Net_Heat_Rate_0,Net_Heat_Rate_1,Net_Heat_Rate_2,Net_Heat_Rate_3
215_HYDRO_1,215,1,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
215_HYDRO_2,215,2,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
215_HYDRO_3,215,3,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
222_HYDRO_1,222,1,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
222_HYDRO_2,222,2,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
222_HYDRO_3,222,3,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
222_HYDRO_4,222,4,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
222_HYDRO_5,222,5,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
222_HYDRO_6,222,6,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
314_SYNC_COND_1,314,1,Sync_Cond,SYNC_COND,Sync_Cond,NA,0,0,0,0,0,0,0,0
322_HYDRO_1,322,1,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
322_HYDRO_2,322,2,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
322_HYDRO_3,322,3,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
322_HYDRO_4,322,4,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
320_PV_1,320,1,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
314_PV_1,314,1,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
314_PV_2,314,2,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
313_PV_1,313,1,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
314_PV_3,314,3,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
314_PV_4,314,4,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
313_PV_2,313,2,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
310_PV_1,310,1,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
324_PV_1,324,1,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
312_PV_1,312,1,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
310_PV_2,310,2,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
324_PV_2,324,2,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
324_PV_3,324,3,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
113_PV_1,113,1,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
319_PV_1,319,1,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
215_PV_1,215,1,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
102_PV_1,102,1,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
101_PV_1,101,1,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
102_PV_2,102,2,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
104_PV_1,104,1,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
212_CSP_1,212,1,CSP,CSP,CSP,NA,0,0,0,0,0,0,0,0
101_PV_2,101,2,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
101_PV_3,101,3,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
101_PV_4,101,4,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
103_PV_1,103,1,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
119_PV_1,119,1,PV,PV,Solar,NA,0,0,0,0,0,0,0,0
308_RTPV_1,308,1,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
313_RTPV_1,313,1,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
313_RTPV_2,313,2,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
313_RTPV_3,313,3,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
313_RTPV_4,313,4,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
313_RTPV_5,313,5,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
313_RTPV_6,313,6,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
313_RTPV_7,313,7,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
313_RTPV_8,313,8,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
313_RTPV_9,313,9,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
313_RTPV_10,313,10,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
313_RTPV_11,313,11,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
313_RTPV_12,313,12,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
320_RTPV_1,320,1,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
320_RTPV_2,320,2,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
320_RTPV_3,320,3,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
313_RTPV_13,313,13,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
320_RTPV_4,320,4,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
320_RTPV_5,320,5,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
118_RTPV_1,118,1,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
118_RTPV_2,118,2,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
118_RTPV_3,118,3,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
118_RTPV_4,118,4,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
118_RTPV_5,118,5,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
118_RTPV_6,118,6,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
320_RTPV_6,320,6,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
118_RTPV_7,118,7,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
118_RTPV_8,118,8,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
118_RTPV_9,118,9,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
118_RTPV_10,118,10,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
213_RTPV_1,213,1,RTPV,RTPV,Solar,NA,0,0,0,0,0,0,0,0
309_WIND_1,309,1,WIND,WIND,Wind,NA,0,0,0,0,0,0,0,0
317_WIND_1,317,1,WIND,WIND,Wind,NA,0,0,0,0,0,0,0,0
303_WIND_1,303,1,WIND,WIND,Wind,NA,0,0,0,0,0,0,0,0
122_WIND_1,122,1,WIND,WIND,Wind,NA,0,0,0,0,0,0,0,0
313_STORAGE_1,313,1,STORAGE,STORAGE,Storage,NA,0,0,0,0,0,0,0,0
