unit,load_min,load_2,load_3,load_4,load_max,load_total,min_gen_perc,heat_rate(load_min),heat_rate(load_2),heat_rate(load_3),heat_rate(load_4),heat_rate(load_max),a4,a3,a2,a1,a0,unit_type,fuel_type,group_type,source
1007_CT4,40.29074402,47.34015601,54.38956801,61.43898001,68.488392,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
1007_CT5,39.76060265,46.71725922,53.6739158,60.63057237,67.58722895,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
1008_2,61.975,81.8625,101.75,121.6375,141.525,257379.4,0.437908497,11.4973572,10.52372925,10.30614514,10.16429056,9.892371782,1.26393E-07,-6.08298E-05,0.010762707,-0.838792993,34.75835856,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Fit
1008_4,62.9,82.325,101.75,121.175,140.6,231678.275,0.447368421,11.29430559,10.38507882,10.23088115,10.2600109,10.04156296,4.12037E-08,-2.81689E-05,0.00626643,-0.572853157,28.89929667,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Fit
10099_001001,101.115,108.09675,115.0785,122.06025,129.042,257049.738,0.78358209,8.077602163,8.308350609,8.521458973,8.4758206,8.436813367,8.88173E-06,-0.004082443,0.70058927,-53.18443073,1514.90224,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
1010_1,131.931,163.46925,195.0075,226.54575,258.084,1180447.326,0.51119403,9.138104525,8.947892598,8.282365285,7.773220748,7.527746852,-2.20856E-08,1.91905E-05,-0.0060871,0.819278962,-30.37677665,Integrated gasification combined cycle,Other Gas,Combined cycle (Natural Gas),Fit
1010_2,48.1,55.73125,63.3625,70.99375,78.625,46887.325,0.611764706,9.139527253,8.65238792,8.617357344,8.544937231,8.845451609,1.10551E-05,-0.002816762,0.268161851,-11.31187239,187.1053497,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Fit
1010_3,49.025,57.58125,66.1375,74.69375,83.25,171349.775,0.588888889,8.424430463,8.441013727,8.516927747,8.671271405,8.543202486,-2.95373E-06,0.000735946,-0.067748215,2.738743582,-32.66641479,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Fit
1010_4,38.15335441,48.01513561,57.87691681,67.738698,77.6004792,,0.491663902,11.35165522,11.01892959,10.81695294,10.71962697,10.64179918,,,,,,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Generic
1010_5,37.73408678,47.48749675,57.24090673,66.99431671,76.74772668,,0.491663902,11.35165522,11.01892959,10.81695294,10.71962697,10.64179918,,,,,,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Generic
1010_6,145.9051355,183.6183208,221.331506,259.0446913,296.7578765,,0.491663902,11.35165522,11.01892959,10.81695294,10.71962697,10.64179918,,,,,,Tangentially-fired,Coal,Boiler (Coal),Generic
1011_2,9.63,26.4825,43.335,60.1875,77.04,7524.882,0.125,33.42347006,17.16710147,15.29264248,13.35518512,13.64244725,8.64362E-06,-0.001709954,0.122344623,-3.836767079,60.47842533,Combustion turbine,Pipeline Natural Gas,Combustion turbine (Natural Gas),Fit
1012_2,48.1,59.2,70.3,81.4,92.5,65527.925,0.52,13.08917153,12.60190016,12.49872585,12.55282713,12.40711352,-3.57551E-07,6.49641E-05,-0.00241633,-0.124371347,19.34627077,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Fit
1012_3,117.475,154.475,191.475,228.475,265.475,1287775.75,0.442508711,12.74992285,12.23826462,12.07086822,12.05225458,12.07557802,1.97051E-09,-2.00659E-06,0.000770815,-0.131646766,20.45539758,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Fit
10143_AAB01,107.3,109.6125,111.925,114.2375,116.55,812475.6,0.920634921,11.63604119,11.65133067,11.88841723,11.9449563,12.05556437,0.000928057,-0.416621428,70.11344299,-5242.461063,146956.0311,Circulating fluidized bed boiler,Coal Refuse,Boiler (Coal),Fit
10156_GEN1,23.32622022,27.40745875,31.48869727,35.56993579,39.65117432,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10169_D1,17.334,24.79725,32.2605,39.72375,47.187,37020.609,0.367346939,12.3575026,10.36307337,9.268032742,8.538627266,8.174734934,7.16668E-06,-0.001031826,0.057992698,-1.59890797,27.37509716,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10190_1,51.039,54.891,58.743,62.595,66.447,274502.187,0.768115942,9.040039573,8.711930838,8.973664825,9.164019241,9.088715989,8.83708E-05,-0.022011982,2.045765827,-84.05219566,1296.740391,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10294_2,21.186,27.20475,33.2235,39.24225,45.261,5443.839,0.468085106,12.5148887,11.4155405,10.83874336,10.42694444,10.08355432,8.28597E-06,-0.001274732,0.074154058,-1.997458066,32.00168414,Combustion turbine,Pipeline Natural Gas,Combustion turbine (Natural Gas),Fit
10298_CG802,40.82088539,47.9630528,55.10522022,62.24738764,69.38955506,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10298_CG803,46.12229907,54.1920207,62.26174233,70.33146395,78.40118558,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10298_CG804,44.53187497,52.32333033,60.1147857,67.90624106,75.69769642,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10307_1,60.43611603,71.01023402,81.58435202,92.15847001,102.732588,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10307_2,64.67724698,75.99340834,87.3095697,98.62573106,109.9418924,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10308_1001,120.375,129.76425,139.1535,148.54275,157.932,607861.971,0.762195122,8.548440468,8.596081133,8.565700264,8.486701354,8.285221139,-5.53638E-07,0.000303686,-0.062681206,5.76487536,-190.6001931,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10308_1002,98.226,113.39325,128.5605,143.72775,158.895,602170.641,0.618181818,10.24614602,8.860187997,8.485357776,8.432484887,8.10568057,7.34443E-08,-6.84599E-05,0.019803339,-2.328644719,105.9538171,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10333_1,25.9,37.69375,49.4875,61.28125,73.075,122266.5,0.35443038,19.4493406,17.65200814,17.43973085,16.76767363,14.18834641,1.28649E-06,-0.00043207,0.04341076,-1.758624165,42.8052156,Stoker,Wood,Stoker (Wood),Fit
10343_SG-101,29.6,31.45,33.3,35.15,37,239720.225,0.8,17.98273698,16.66480906,16.60611441,16.49965856,15.91338332,0.003112277,-0.437443774,22.97596509,-534.6307522,4668.085879,Circulating fluidized bed boiler,Coal Refuse,Boiler (Coal),Fit
10349_2,20.223,26.72325,33.2235,39.72375,46.224,22012.254,0.4375,11.76124545,10.69304581,10.23831201,9.862574148,9.590693346,1.30538E-05,-0.001889394,0.102247149,-2.509664627,34.14128107,Combustion turbine,Pipeline Natural Gas,Combustion turbine (Natural Gas),Fit
10350_1,8.667,19.98225,31.2975,42.61275,53.928,32000.49,0.160714286,15.27115158,9.749681251,8.153227928,7.974900874,6.719720687,3.02756E-08,-0.000291503,0.03272615,-1.237183097,23.7251394,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10405_1,13.25353422,15.57241974,17.89130527,20.21019079,22.52907632,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
1040_1,12.95,17.80625,22.6625,27.51875,32.375,17792.375,0.4,12.31125768,11.82423432,11.83879417,11.61001428,11.74302735,0.000101143,-0.009270339,0.311046879,-4.54332946,36.2723087,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Fit
1040_2,27.75,36.30625,44.8625,53.41875,61.975,35573.65,0.447761194,12.03503033,11.61194261,11.6529308,11.61979787,11.77068845,6.19091E-06,-0.001148215,0.078815423,-2.371644719,38.02066841,Tangentially-fired,Coal,Boiler (Coal),Fit
1043_1SG1,61.975,72.84375,83.7125,94.58125,105.45,63365.275,0.587719298,11.06724653,10.49543678,10.18841925,9.872295801,9.068904562,-6.09904E-07,0.000155414,-0.013352264,0.37645887,11.02388178,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Fit
1046_1,8.381974138,14.63376539,20.88555665,27.13734791,33.38913916,,0.251038941,13.136546,11.51864969,10.96713568,10.79602367,10.58810797,,,,,,Dry bottom wall-fired boiler,Natural Gas,Boiler (Natural Gas),Generic
1046_5,4.298448276,7.504495074,10.71054187,13.91658867,17.12263547,,0.251038941,13.136546,11.51864969,10.96713568,10.79602367,10.58810797,,,,,,Dry bottom wall-fired boiler,Natural Gas,Boiler (Natural Gas),Generic
1046_6,3.008913793,5.253146552,7.49737931,9.741612069,11.98584483,,0.251038941,13.136546,11.51864969,10.96713568,10.79602367,10.58810797,,,,,,Dry bottom wall-fired boiler,Natural Gas,Boiler (Natural Gas),Generic
1047_4,102.675,136.4375,170.2,203.9625,237.725,856352.05,0.431906615,12.64890099,11.84504816,11.34429709,11.27465484,11.25155558,-1.64364E-08,1.06344E-05,-0.002365293,0.197311069,7.641162769,Dry bottom turbo-fired boiler,Coal,Boiler (Coal),Fit
1048_2,63.825,98.05,132.275,166.5,200.725,288903.4,0.31797235,12.44622309,12.63749439,11.86412574,11.19895933,10.60925824,-3.35741E-08,1.99261E-05,-0.004297055,0.378127147,1.193237555,Tangentially-fired,"Coal, Natural Gas",Boiler (Coal),Fit
10525_ES5A,38.85,41.1625,43.475,45.7875,48.1,281198.15,0.807692308,15.63760334,15.20440886,15.21441668,15.56856145,15.25006038,-0.001337121,0.225006062,-14.1435272,393.5537754,-4074.468573,Stoker,Wood,Stoker (Wood),Fit
10567_GT1,18.02480653,21.17849085,24.33217516,27.48585948,30.63954379,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10603_031,25.15605785,31.65833117,38.16060449,44.6628778,51.16515112,,0.491663902,11.35165522,11.01892959,10.81695294,10.71962697,10.64179918,,,,,,Circulating fluidized bed boiler,Coal,Boiler (Coal),Generic
10617_1,23.112,41.409,59.706,78.003,96.3,2727.216,0.24,15.67108012,11.18808047,8.25957346,7.815095146,7.938061353,-1.05809E-06,0.000239269,-0.016161911,0.184221902,17.39444768,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10619_00001,31.779,39.483,47.187,54.891,62.595,104499.945,0.507692308,9.214178543,8.323436681,8.134048493,8.06230359,8.105238562,6.86927E-06,-0.001403483,0.107490579,-3.666817407,55.22374398,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10620_1,12.519,24.075,35.631,47.187,58.743,9131.166,0.213114754,18.7510608,13.48608287,10.27987338,8.811478604,8.764654418,1.10039E-08,-3.59772E-05,0.010267084,-0.794281269,27.15587418,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10621_1,48.15,60.669,73.188,85.707,98.226,25147.782,0.490196078,8.55686469,8.135984048,7.989964331,7.937849651,7.947852276,2.53038E-07,-8.31133E-05,0.010376236,-0.586539355,20.66023736,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10633_1,53.54427824,62.91257576,72.28087328,81.6491708,91.01746832,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10633_2,54.0744196,63.53547255,72.99652549,82.45757843,91.91863137,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10633_3,54.0744196,63.53547255,72.99652549,82.45757843,91.91863137,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10678_001,83.25,104.525,125.8,147.075,168.35,1040097.75,0.494505495,14.46148644,13.65450084,13.13089346,12.85574296,12.56286175,-4.70352E-08,2.10623E-05,-0.003187008,0.15884584,13.43222387,Circulating fluidized bed boiler,Coal,Boiler (Coal),Fit
10682_GT2,23.112,25.038,26.964,28.89,30.816,1002.483,0.75,15.48776731,14.91121347,14.79210587,14.60374335,13.86692068,0.00014382,-0.027244839,1.566627574,-36.37373945,314.6384156,Combustion turbine,Pipeline Natural Gas,Combustion turbine (Natural Gas),Fit
10682_GT4,35.5194717,41.73408491,47.94869811,54.16331132,60.37792453,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10682_GT5,34.45918896,40.48829133,46.51739369,52.54649606,58.57559842,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
1068_1A,13.482,17.334,21.186,25.038,28.89,339.939,0.466666667,15.08866078,14.27505143,12.79207,12.295899,12.22244916,-0.000420194,0.037201195,-1.193330047,16.17330589,-63.3358026,Combustion turbine,Diesel Oil,Combustion turbine (Diesel Oil),Fit
1068_1B,13.482,17.8155,22.149,26.4825,30.816,364.977,0.4375,15.50364018,14.05319586,12.84928151,12.62002432,11.80042024,-0.000270933,0.023146645,-0.70950279,8.990218631,-24.51095522,Combustion turbine,Diesel Oil,Combustion turbine (Diesel Oil),Fit
1068_2A,19.02718681,21.34700392,23.66682104,25.98663815,28.30645526,,0.67218543,14.18401581,13.39125054,13.03760934,12.55617223,12.32932369,,,,,,Combustion turbine,Diesel Oil,Combustion turbine (Diesel Oil),Generic
1068_2B,19.02718681,21.34700392,23.66682104,25.98663815,28.30645526,,0.67218543,14.18401581,13.39125054,13.03760934,12.55617223,12.32932369,,,,,,Combustion turbine,Diesel Oil,Combustion turbine (Diesel Oil),Generic
1068_3A,14.445,17.57475,20.7045,23.83425,26.964,374.607,0.535714286,14.53649168,14.26358551,12.98962333,12.58120839,12.31649907,-0.001124059,0.096204065,-3.029234344,41.3235691,-191.3342595,Combustion turbine,Diesel Oil,Combustion turbine (Diesel Oil),Fit
1068_3B,14.445,17.8155,21.186,24.5565,27.927,377.496,0.517241379,14.8480955,14.20288842,13.06548497,12.42881468,12.22855091,-0.000341344,0.030947813,-1.021799286,14.32078479,-57.22627219,Combustion turbine,Diesel Oil,Combustion turbine (Diesel Oil),Fit
10725_CTG101,100.152,109.05975,117.9675,126.87525,135.783,359503.308,0.737588652,9.231598533,8.540750737,7.929919942,8.129374727,7.459698316,-1.59469E-05,0.007412972,-1.285561682,98.52934819,-2806.367867,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10725_CTG201,87.633,100.6335,113.634,126.6345,139.635,376749.675,0.627586207,8.839139611,8.499816003,8.338223399,8.441424238,8.476496129,-6.12607E-07,0.000269128,-0.043396793,3.032118488,-68.59604689,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10725_CTG301,80.892,95.09625,109.3005,123.50475,137.709,345142.089,0.587412587,9.340632659,8.474862832,8.345666253,8.536498366,8.450852187,-1.84203E-07,5.10766E-05,-0.002714215,-0.267023153,29.55256634,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10726_1,50.36343002,59.17519502,67.98696001,76.79872501,85.61049,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10726_2,50.89357139,59.79809181,68.70261222,77.60713264,86.51165306,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10741_G102,89.559,99.42975,109.3005,119.17125,129.042,144966.168,0.694029851,12.09353184,10.98708751,9.72219756,9.24306602,9.245122404,-5.48116E-06,0.002451797,-0.406494352,29.52293308,-780.1273964,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10741_G103,87.633,97.7445,107.856,117.9675,128.079,11316.213,0.684210526,12.68858401,11.78011208,10.22623389,9.735503327,8.834074099,-1.26847E-05,0.005491416,-0.884987936,62.81703211,-1643.387538,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10741_G104,83.781,94.13325,104.4855,114.83775,125.19,217899.936,0.669230769,12.33263985,12.05437714,10.56424665,9.300542248,9.904867825,7.37579E-07,-7.69252E-05,-0.02322382,3.849333892,-138.2567663,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10745_003,55.66484371,65.40416291,75.14348212,84.88280132,94.62212053,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10745_004,55.66484371,65.40416291,75.14348212,84.88280132,94.62212053,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10745_005,55.13470234,64.78126613,74.42782991,84.07439369,93.72095748,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10745_006,55.13470234,64.78126613,74.42782991,84.07439369,93.72095748,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10745_007,54.60456097,64.15836934,73.7121777,83.26598606,92.81979442,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10745_008,54.60456097,64.15836934,73.7121777,83.26598606,92.81979442,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10745_009,54.60456097,64.15836934,73.7121777,83.26598606,92.81979442,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10745_010,55.13470234,64.78126613,74.42782991,84.07439369,93.72095748,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10745_011,55.13470234,64.78126613,74.42782991,84.07439369,93.72095748,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10745_012,51.95385413,61.04388539,70.13391665,79.2239479,88.31397916,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10745_013,54.60456097,64.15836934,73.7121777,83.26598606,92.81979442,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10745_014,54.60456097,64.15836934,73.7121777,83.26598606,92.81979442,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10751_002001,102.078,111.94875,121.8195,131.69025,141.561,186572.583,0.721088435,9.081740764,8.862678256,8.945000237,9.28253081,8.739630364,-4.7819E-06,0.002227713,-0.386580435,29.61852196,-836.4815998,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10761_1,21.20565475,24.91587159,28.62608843,32.33630527,36.04652211,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10761_2,23.85636159,28.03035553,32.20434948,36.37834342,40.55233737,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10761_3,23.85636159,28.03035553,32.20434948,36.37834342,40.55233737,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10761_4,23.85636159,28.03035553,32.20434948,36.37834342,40.55233737,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10761_5,23.85636159,28.03035553,32.20434948,36.37834342,40.55233737,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
10805_002001,13.78367559,16.19531653,18.60695748,21.01859842,23.43023937,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
1081_9,31.45,50.18125,68.9125,87.64375,106.375,157037.25,0.295652174,13.23927219,10.21084185,9.775081154,9.236498895,9.573271657,1.24343E-06,-0.000364527,0.03934883,-1.875980189,43.4417925,Tangentially-fired,"Coal, Pipeline Natural Gas",Boiler (Coal),Fit
10823_S42,10.593,13.0005,15.408,17.8155,20.223,858.033,0.523809524,13.57754395,12.42050756,11.81853583,11.43349948,10.8045295,-0.000152233,0.004610806,0.023313106,-1.952203331,28.07739542,Combustion turbine,Diesel Oil,Combustion turbine (Diesel Oil),Fit
10823_S43,9.63,10.83375,12.0375,13.24125,14.445,185.859,0.666666667,13.41813776,13.251544,12.64026123,11.44316046,11.96261682,0.048490497,-2.231561736,38.15681857,-287.7752024,822.0339327,Combustion turbine,Diesel Oil,Combustion turbine (Diesel Oil),Fit
1082_1,17.6092405,22.16083182,26.71242314,31.26401446,35.81560579,,0.491663902,11.35165522,11.01892959,10.81695294,10.71962697,10.64179918,,,,,,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Generic
1082_2,17.575,33.06875,48.5625,64.05625,79.55,59648.625,0.220930233,11.91193846,11.63296977,11.95411252,12.17688889,11.1694003,-3.13381E-07,1.98642E-05,0.001410683,-0.10659277,13.27163814,Tangentially-fired,Coal,Boiler (Coal),Fit
1082_3,262.7,370,477.3,584.6,691.9,3591895.25,0.379679144,9.996286163,10.49990706,10.60546232,10.2999694,9.864558737,9.24494E-11,-1.58416E-07,8.15525E-05,-0.010931391,9.671596097,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Fit
1082_4,371.85,480.30625,588.7625,697.21875,805.675,5566979.3,0.461538462,9.754279518,9.55958389,9.450409282,9.41730163,9.350818089,-3.01108E-11,6.31458E-08,-4.53203E-05,0.011715536,8.993362793,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Fit
10849_PB1,17.6092405,22.16083182,26.71242314,31.26401446,35.81560579,,0.491663902,11.35165522,11.01892959,10.81695294,10.71962697,10.64179918,,,,,,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Generic
10849_PB2,38.85,44.16875,49.4875,54.80625,60.125,284388.475,0.646153846,10.82736635,10.82179831,11.11574848,11.41401836,10.83276764,-3.0648E-05,0.005413756,-0.352452979,10.04068802,-94.91782431,Dry bottom wall-fired boiler,Coal,Boiler (Coal),Fit
10870_TURB2,18.20304878,20.6994669,23.19588502,25.69230314,28.18872125,,0.645756458,12.4978889,11.91508171,11.41275018,11.1264967,10.86228467,,,,,,Combustion turbine,Pipeline Natural Gas,Combustion turbine (Natural Gas),Generic
