Year,Month,Day,Period,122_HYDRO_1,122_HYDRO_2,122_HYDRO_3,122_HYDRO_4,122_HYDRO_5,122_HYDRO_6,201_HYDRO_4,215_HYDRO_1,215_HYDRO_2,215_HYDRO_3,222_HYDRO_1,222_HYDRO_2,222_HYDRO_3,222_HYDRO_4,222_HYDRO_5,222_HYDRO_6,322_HYDRO_1,322_HYDRO_2,322_HYDRO_3,322_HYDRO_4
2020,1,1,11,3.8,3.8,3.8,3.8,3.8,3.8,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,35.2,35.2,35.2,35.2
2020,1,1,12,3.8,3.8,3.8,3.8,3.8,3.8,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,35.5,35.5,35.5,35.5
2020,1,1,13,3.8,3.8,3.8,3.8,3.8,3.8,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,35.1,35.1,35.1,35.1
2020,1,1,14,4.2,4.2,4.2,4.2,4.2,4.2,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,21.4,21.4,21.4,21.4
2020,1,1,15,4.2,4.2,4.2,4.2,4.2,4.2,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,16.9,16.9,16.9,16.9
2020,1,1,16,13.2,13.2,13.2,13.2,13.2,13.2,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,19.4,19.4,19.4,19.4
2020,1,1,17,12.7,12.7,12.7,12.7,12.7,12.7,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,15.1,15.1,15.1,15.1
2020,1,1,18,13.2,13.2,13.2,13.2,13.2,13.2,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,23.6,23.6,23.6,23.6
2020,1,1,19,9,9,9,9,9,9,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,33.1,33.1,33.1,33.1
2020,1,1,20,4.2,4.2,4.2,4.2,4.2,4.2,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,38.4,38.4,38.4,38.4
2020,1,1,21,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,40.8,40.8,40.8,40.8
2020,1,1,22,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,37.4,37.4,37.4,37.4
2020,1,1,23,3.8,3.8,3.8,3.8,3.8,3.8,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,41,41,41,41
2020,1,1,24,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,10,10,10,10
2020,1,2,1,2.8,2.8,2.8,2.8,2.8,2.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.4,9.4,9.4,9.4
2020,1,2,2,2.8,2.8,2.8,2.8,2.8,2.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,30.3,30.3,30.3,30.3
2020,1,2,3,2.8,2.8,2.8,2.8,2.8,2.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,25,25,25,25
2020,1,2,4,2.8,2.8,2.8,2.8,2.8,2.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,23.1,23.1,23.1,23.1
2020,1,2,5,2.8,2.8,2.8,2.8,2.8,2.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,22.6,22.6,22.6,22.6
2020,1,2,6,2.8,2.8,2.8,2.8,2.8,2.8,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,17.5,17.5,17.5,17.5
2020,1,2,7,3.3,3.3,3.3,3.3,3.3,3.3,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,11.1,11.1,11.1,11.1
2020,1,2,8,2.4,2.4,2.4,2.4,2.4,2.4,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,22.7,22.7,22.7,22.7
2020,1,2,9,3.3,3.3,3.3,3.3,3.3,3.3,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,26.1,26.1,26.1,26.1
2020,1,2,10,2.4,2.4,2.4,2.4,2.4,2.4,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,26.4,26.4,26.4,26.4
2020,1,2,11,2.8,2.8,2.8,2.8,2.8,2.8,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,32,32,32,32
2020,1,2,12,2.8,2.8,2.8,2.8,2.8,2.8,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,39.1,39.1,39.1,39.1
2020,1,2,13,2.8,2.8,2.8,2.8,2.8,2.8,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,33.6,33.6,33.6,33.6
2020,1,2,14,2.8,2.8,2.8,2.8,2.8,2.8,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,30.6,30.6,30.6,30.6
2020,1,2,15,2.8,2.8,2.8,2.8,2.8,2.8,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,29.7,29.7,29.7,29.7
2020,1,2,16,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,29.7,29.7,29.7,29.7
2020,1,2,17,3.3,3.3,3.3,3.3,3.3,3.3,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,31.1,31.1,31.1,31.1
2020,1,2,18,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,32.4,32.4,32.4,32.4
2020,1,2,19,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,31.9,31.9,31.9,31.9
2020,1,2,20,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,34.7,34.7,34.7,34.7
2020,1,2,21,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,32.8,32.8,32.8,32.8
2020,1,2,22,4.7,4.7,4.7,4.7,4.7,4.7,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,29.1,29.1,29.1,29.1
2020,1,2,23,4.7,4.7,4.7,4.7,4.7,4.7,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,40.3,40.3,40.3,40.3
2020,1,2,24,4.7,4.7,4.7,4.7,4.7,4.7,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,19.9,19.9,19.9,19.9
2020,1,3,1,3.8,3.8,3.8,3.8,3.8,3.8,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,23,23,23,23
2020,1,3,2,3.3,3.3,3.3,3.3,3.3,3.3,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,24.8,24.8,24.8,24.8
2020,1,3,3,2.8,2.8,2.8,2.8,2.8,2.8,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,21.3,21.3,21.3,21.3
2020,1,3,4,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,12.2,12.2,12.2,12.2
2020,1,3,5,3.3,3.3,3.3,3.3,3.3,3.3,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,11.1,11.1,11.1,11.1
2020,1,3,6,3.3,3.3,3.3,3.3,3.3,3.3,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,18.3,18.3,18.3,18.3
2020,1,3,7,3.3,3.3,3.3,3.3,3.3,3.3,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,43.8,43.8,43.8,43.8
2020,1,3,8,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,44.4,44.4,44.4,44.4
2020,1,3,9,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,42.8,42.8,42.8,42.8
2020,1,3,10,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,28.9,28.9,28.9,28.9
2020,1,3,11,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,11.4,11.4,11.4,11.4
2020,1,3,12,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,11.9,11.9,11.9,11.9
2020,1,3,13,3.3,3.3,3.3,3.3,3.3,3.3,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,30.6,30.6,30.6,30.6
2020,1,3,14,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,31.9,31.9,31.9,31.9
2020,1,3,15,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,28.9,28.9,28.9,28.9
2020,1,3,16,3.3,3.3,3.3,3.3,3.3,3.3,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,32.5,32.5,32.5,32.5
2020,1,3,17,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,12.3,12.3,12.3,12.3
2020,1,3,18,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,25.6,25.6,25.6,25.6
2020,1,3,19,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,26.6,26.6,26.6,26.6
2020,1,3,20,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,23.7,23.7,23.7,23.7
2020,1,3,21,3.8,3.8,3.8,3.8,3.8,3.8,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,25.7,25.7,25.7,25.7
2020,1,3,22,4.2,4.2,4.2,4.2,4.2,4.2,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,26.5,26.5,26.5,26.5
2020,1,3,23,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,45.1,45.1,45.1,45.1
2020,1,3,24,3.8,3.8,3.8,3.8,3.8,3.8,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,16.3,16.3,16.3,16.3
2020,1,4,1,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,24.9,24.9,24.9,24.9
2020,1,4,2,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,25.9,25.9,25.9,25.9
2020,1,4,3,3.3,3.3,3.3,3.3,3.3,3.3,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,20.4,20.4,20.4,20.4
2020,1,4,4,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,17.9,17.9,17.9,17.9
2020,1,4,5,3.8,3.8,3.8,3.8,3.8,3.8,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,13.8,13.8,13.8,13.8
2020,1,4,6,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,19.1,19.1,19.1,19.1
2020,1,4,7,2.8,2.8,2.8,2.8,2.8,2.8,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,40.1,40.1,40.1,40.1
2020,1,4,8,3.3,3.3,3.3,3.3,3.3,3.3,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,22.4,22.4,22.4,22.4
2020,1,4,9,3.3,3.3,3.3,3.3,3.3,3.3,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,16.1,16.1,16.1,16.1
2020,1,4,10,3.3,3.3,3.3,3.3,3.3,3.3,9,9,9,9,9,9,9,9,9,9,17.9,17.9,17.9,17.9
2020,1,4,11,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,10.8,10.8,10.8,10.8
2020,1,4,12,2.8,2.8,2.8,2.8,2.8,2.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,20.7,20.7,20.7,20.7
2020,1,4,13,2.8,2.8,2.8,2.8,2.8,2.8,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,33.6,33.6,33.6,33.6
2020,1,4,14,2.8,2.8,2.8,2.8,2.8,2.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,35.7,35.7,35.7,35.7
2020,1,4,15,3.3,3.3,3.3,3.3,3.3,3.3,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,29.8,29.8,29.8,29.8
2020,1,4,16,2.8,2.8,2.8,2.8,2.8,2.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,28.9,28.9,28.9,28.9
2020,1,4,17,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,20.5,20.5,20.5,20.5
2020,1,4,18,2.8,2.8,2.8,2.8,2.8,2.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,30.3,30.3,30.3,30.3
2020,1,4,19,3.8,3.8,3.8,3.8,3.8,3.8,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,36,36,36,36
2020,1,4,20,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,39,39,39,39
2020,1,4,21,3.3,3.3,3.3,3.3,3.3,3.3,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,39.5,39.5,39.5,39.5
2020,1,4,22,3.3,3.3,3.3,3.3,3.3,3.3,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,42.1,42.1,42.1,42.1
2020,1,4,23,3.3,3.3,3.3,3.3,3.3,3.3,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,28.1,28.1,28.1,28.1
2020,1,4,24,6.1,6.1,6.1,6.1,6.1,6.1,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,24.7,24.7,24.7,24.7
2020,1,5,1,3.3,3.3,3.3,3.3,3.3,3.3,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,23.2,23.2,23.2,23.2
2020,1,5,2,3.3,3.3,3.3,3.3,3.3,3.3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,15.9,15.9,15.9,15.9
2020,1,5,3,3.8,3.8,3.8,3.8,3.8,3.8,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,11.9,11.9,11.9,11.9
2020,1,5,4,2.8,2.8,2.8,2.8,2.8,2.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,17.3,17.3,17.3,17.3
2020,1,5,5,2.8,2.8,2.8,2.8,2.8,2.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,19.7,19.7,19.7,19.7
2020,1,5,6,2.8,2.8,2.8,2.8,2.8,2.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,20,20,20,20
2020,1,5,7,3.3,3.3,3.3,3.3,3.3,3.3,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,15.4,15.4,15.4,15.4
2020,1,5,8,3.3,3.3,3.3,3.3,3.3,3.3,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,37.4,37.4,37.4,37.4
2020,1,5,9,3.3,3.3,3.3,3.3,3.3,3.3,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,25.2,25.2,25.2,25.2
2020,1,5,10,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,26.9,26.9,26.9,26.9
2020,1,5,11,3.3,3.3,3.3,3.3,3.3,3.3,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,27.6,27.6,27.6,27.6
2020,1,5,12,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,31.1,31.1,31.1,31.1
2020,1,5,13,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,39.2,39.2,39.2,39.2
2020,1,5,14,4.2,4.2,4.2,4.2,4.2,4.2,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,32.5,32.5,32.5,32.5
2020,1,5,15,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,33.1,33.1,33.1,33.1
2020,1,5,16,4.2,4.2,4.2,4.2,4.2,4.2,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,31.2,31.2,31.2,31.2
2020,1,5,17,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,26.3,26.3,26.3,26.3
2020,1,5,18,4.2,4.2,4.2,4.2,4.2,4.2,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,24.8,24.8,24.8,24.8
2020,1,5,19,4.2,4.2,4.2,4.2,4.2,4.2,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,25.4,25.4,25.4,25.4
2020,1,5,20,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,25.2,25.2,25.2,25.2
2020,1,5,21,4.2,4.2,4.2,4.2,4.2,4.2,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,34.2,34.2,34.2,34.2
2020,1,5,22,5.7,5.7,5.7,5.7,5.7,5.7,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,34.1,34.1,34.1,34.1
2020,1,5,23,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,40,40,40,40
2020,1,5,24,6.1,6.1,6.1,6.1,6.1,6.1,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,7.1,7.1,7.1,7.1
2020,1,6,1,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,24,24,24,24
2020,1,6,2,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,21.9,21.9,21.9,21.9
2020,1,6,3,3.8,3.8,3.8,3.8,3.8,3.8,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,18.4,18.4,18.4,18.4
2020,1,6,4,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,20.3,20.3,20.3,20.3
2020,1,6,5,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,15.5,15.5,15.5,15.5
2020,1,6,6,3.8,3.8,3.8,3.8,3.8,3.8,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,7.9,7.9,7.9,7.9
2020,1,6,7,13.2,13.2,13.2,13.2,13.2,13.2,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,12.4,12.4,12.4,12.4
2020,1,6,8,12.7,12.7,12.7,12.7,12.7,12.7,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,22.6,22.6,22.6,22.6
2020,1,6,9,12.7,12.7,12.7,12.7,12.7,12.7,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,15.3,15.3,15.3,15.3
2020,1,6,10,13.2,13.2,13.2,13.2,13.2,13.2,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,26.8,26.8,26.8,26.8
2020,1,6,11,12.7,12.7,12.7,12.7,12.7,12.7,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,31.5,31.5,31.5,31.5
2020,1,6,12,13.2,13.2,13.2,13.2,13.2,13.2,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,17.9,17.9,17.9,17.9
2020,1,6,13,12.7,12.7,12.7,12.7,12.7,12.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18,18,18,18
2020,1,6,14,12.7,12.7,12.7,12.7,12.7,12.7,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,25.9,25.9,25.9,25.9
2020,1,6,15,13.2,13.2,13.2,13.2,13.2,13.2,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,20,20,20,20
2020,1,6,16,12.7,12.7,12.7,12.7,12.7,12.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,15.4,15.4,15.4,15.4
2020,1,6,17,14.2,14.2,14.2,14.2,14.2,14.2,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,15.2,15.2,15.2,15.2
2020,1,6,18,25.9,25.9,25.9,25.9,25.9,25.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,14.3,14.3,14.3,14.3
2020,1,6,19,25.5,25.5,25.5,25.5,25.5,25.5,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,19.5,19.5,19.5,19.5
2020,1,6,20,25.9,25.9,25.9,25.9,25.9,25.9,14,14,14,14,14,14,14,14,14,14,16.9,16.9,16.9,16.9
2020,1,6,21,25.9,25.9,25.9,25.9,25.9,25.9,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,23.6,23.6,23.6,23.6
2020,1,6,22,25.9,25.9,25.9,25.9,25.9,25.9,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,12.9,12.9,12.9,12.9
2020,1,6,23,25.9,25.9,25.9,25.9,25.9,25.9,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,12.8,12.8,12.8,12.8
2020,1,6,24,19.8,19.8,19.8,19.8,19.8,19.8,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,24.8,24.8,24.8,24.8
2020,1,7,1,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.7,9.7,9.7,9.7
2020,1,7,2,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,20.6,20.6,20.6,20.6
2020,1,7,3,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,16.6,16.6,16.6,16.6
2020,1,7,4,3.8,3.8,3.8,3.8,3.8,3.8,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,19.2,19.2,19.2,19.2
2020,1,7,5,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,19.5,19.5,19.5,19.5
2020,1,7,6,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,13.1,13.1,13.1,13.1
2020,1,7,7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,18.6,18.6,18.6,18.6
2020,1,7,8,12.7,12.7,12.7,12.7,12.7,12.7,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,21.6,21.6,21.6,21.6
2020,1,7,9,14.2,14.2,14.2,14.2,14.2,14.2,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,20.8,20.8,20.8,20.8
2020,1,7,10,12.7,12.7,12.7,12.7,12.7,12.7,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,12.7,12.7,12.7,12.7
