Escalator,Value,Timeslice (month)
Biomass 17,0.3231,M5
Biomass 17,0.3231,M6
Biomass 17,0.3231,M7
Biomass 17,0.3385,M8
Biomass 17,0.3231,M9
Biomass 18,0.3077,M1
Biomass 18,0.2923,M10
Biomass 18,0.3231,M11
Biomass 18,0.3077,M12
Biomass 18,0.3231,M2
Biomass 18,0.3231,M3
Biomass 18,0.3385,M4
Biomass 18,0.3231,M5
Biomass 18,0.3231,M6
Biomass 18,0.3231,M7
Biomass 18,0.3385,M8
Biomass 18,0.3231,M9
Biomass 19,0.8222,M1
Biomass 19,0.8,M10
Biomass 19,0.8667,M11
Biomass 19,0.8222,M12
Biomass 19,0.8444,M2
Biomass 19,0.7778,M3
Biomass 19,0.7778,M4
Biomass 19,0.7778,M5
Biomass 19,0.8,M6
Biomass 19,0.8222,M7
Biomass 19,0.8667,M8
Biomass 19,0.8444,M9
Biomass 2,0.35,M1
Biomass 2,0.3433,M10
Biomass 2,0.3733,M11
Biomass 2,0.3533,M12
Biomass 2,0.37,M2
Biomass 2,0.3333,M3
Biomass 2,0.3333,M4
Biomass 2,0.3367,M5
Biomass 2,0.3433,M6
Biomass 2,0.35,M7
Biomass 2,0.37,M8
Biomass 2,0.3667,M9
Biomass 20,0.8222,M1
Biomass 20,0.8,M10
Biomass 20,0.8667,M11
Biomass 20,0.8222,M12
Biomass 20,0.8444,M2
Biomass 20,0.7778,M3
Biomass 20,0.7778,M4
Biomass 20,0.7778,M5
Biomass 20,0.8,M6
Biomass 20,0.8222,M7
Biomass 20,0.8667,M8
Biomass 20,0.8444,M9
Biomass 21,0.8222,M1
Biomass 21,0.8,M10
Biomass 21,0.8667,M11
Biomass 21,0.8222,M12
Biomass 21,0.8444,M2
Biomass 21,0.7778,M3
Biomass 21,0.7778,M4
Biomass 21,0.7778,M5
Biomass 21,0.8,M6
Biomass 21,0.8222,M7
Biomass 21,0.8667,M8
Biomass 21,0.8444,M9
Biomass 22,0.8222,M1
Biomass 22,0.8,M10
Biomass 22,0.8667,M11
Biomass 22,0.8222,M12
Biomass 22,0.8444,M2
Biomass 22,0.7778,M3
Biomass 22,0.7778,M4
Biomass 22,0.7778,M5
Biomass 22,0.8,M6
Biomass 22,0.8222,M7
Biomass 22,0.8667,M8
Biomass 22,0.8444,M9
Biomass 23,0.45,M1
Biomass 23,0.28,M10
Biomass 23,0.29,M11
Biomass 23,0.28,M12
Biomass 23,0.46,M2
Biomass 23,0.45,M3
Biomass 23,0.44,M4
Biomass 23,0.45,M5
Biomass 23,0.39,M6
Biomass 23,0.31,M7
Biomass 23,0.28,M8
Biomass 23,0.28,M9
Biomass 24,0.45,M1
Biomass 24,0.28,M10
Biomass 24,0.29,M11
Biomass 24,0.28,M12
Biomass 24,0.46,M2
Biomass 24,0.45,M3
Biomass 24,0.44,M4
Biomass 24,0.45,M5
Biomass 24,0.39,M6
Biomass 24,0.31,M7
Biomass 24,0.28,M8
Biomass 24,0.28,M9
Biomass 25,0.45,M1
Biomass 25,0.28,M10
Biomass 25,0.29,M11
Biomass 25,0.28,M12
Biomass 25,0.46,M2
Biomass 25,0.45,M3
Biomass 25,0.44,M4
Biomass 25,0.45,M5
Biomass 25,0.39,M6
Biomass 25,0.31,M7
Biomass 25,0.28,M8
Biomass 25,0.28,M9
Biomass 26,0.8895,M1
Biomass 26,0.8895,M10
Biomass 26,0.9316,M11
Biomass 26,0.8895,M12
Biomass 26,0.9263,M2
Biomass 26,0.8895,M3
Biomass 26,0.8895,M4
Biomass 26,0.8895,M5
Biomass 26,0.8895,M6
Biomass 26,0.8895,M7
Biomass 26,0.9211,M8
Biomass 26,0.9158,M9
Biomass 27,0.8895,M1
Biomass 27,0.8895,M10
Biomass 27,0.9316,M11
Biomass 27,0.8895,M12
Biomass 27,0.9263,M2
Biomass 27,0.8895,M3
Biomass 27,0.8895,M4
Biomass 27,0.8895,M5
Biomass 27,0.8895,M6
Biomass 27,0.8895,M7
Biomass 27,0.9211,M8
Biomass 27,0.9158,M9
Biomass 28,0.8895,M1
Biomass 28,0.8895,M10
Biomass 28,0.9316,M11
Biomass 28,0.8895,M12
Biomass 28,0.9263,M2
Biomass 28,0.8895,M3
Biomass 28,0.8895,M4
Biomass 28,0.8895,M5
Biomass 28,0.8895,M6
Biomass 28,0.8895,M7
Biomass 28,0.9211,M8
Biomass 28,0.9158,M9
Biomass 29,0.8895,M1
Biomass 29,0.8895,M10
Biomass 29,0.9316,M11
Biomass 29,0.8895,M12
Biomass 29,0.9263,M2
Biomass 29,0.8895,M3
Biomass 29,0.8895,M4
Biomass 29,0.8895,M5
Biomass 29,0.8895,M6
Biomass 29,0.8895,M7
Biomass 29,0.9211,M8
Biomass 29,0.9158,M9
Biomass 3,0.2083,M1
Biomass 3,0.2167,M10
Biomass 3,0.2167,M11
Biomass 3,0.2083,M12
Biomass 3,0.2167,M2
Biomass 3,0.2167,M3
Biomass 3,0.2083,M4
Biomass 3,0.2083,M5
Biomass 3,0.2083,M6
Biomass 3,0.2083,M7
Biomass 3,0.2167,M8
Biomass 3,0.2167,M9
Biomass 30,0.8895,M1
Biomass 30,0.8895,M10
Biomass 30,0.9316,M11
Biomass 30,0.8895,M12
Biomass 30,0.9263,M2
Biomass 30,0.8895,M3
Biomass 30,0.8895,M4
Biomass 30,0.8895,M5
Biomass 30,0.8895,M6
Biomass 30,0.8895,M7
Biomass 30,0.9211,M8
Biomass 30,0.9158,M9
Biomass 31,0.8895,M1
Biomass 31,0.8895,M10
Biomass 31,0.9316,M11
Biomass 31,0.8895,M12
Biomass 31,0.9263,M2
Biomass 31,0.8895,M3
Biomass 31,0.8895,M4
Biomass 31,0.8895,M5
Biomass 31,0.8895,M6
Biomass 31,0.8895,M7
Biomass 31,0.9211,M8
Biomass 31,0.9158,M9
Biomass 32,0.6316,M1
Biomass 32,0.6421,M10
Biomass 32,0.6684,M11
Biomass 32,0.6526,M12
Biomass 32,0.6632,M2
Biomass 32,0.6316,M3
Biomass 32,0.6263,M4
Biomass 32,0.6263,M5
Biomass 32,0.6263,M6
Biomass 32,0.6316,M7
Biomass 32,0.6474,M8
Biomass 32,0.6474,M9
Biomass 33,1,M1
Biomass 33,0.9313,M10
Biomass 33,0.9313,M11
Biomass 33,0.9313,M12
Biomass 33,1,M2
Biomass 33,0.8438,M3
Biomass 33,0.8438,M4
Biomass 33,0.8563,M5
Biomass 33,0.8563,M6
Biomass 33,0.8938,M7
Biomass 33,0.9438,M8
Biomass 33,0.9313,M9
Biomass 34,1,M1
Biomass 34,0.9313,M10
Biomass 34,0.9313,M11
Biomass 34,0.9313,M12
Biomass 34,1,M2
Biomass 34,0.8438,M3
Biomass 34,0.8438,M4
Biomass 34,0.8563,M5
Biomass 34,0.8563,M6
Biomass 34,0.8938,M7
Biomass 34,0.9438,M8
Biomass 34,0.9313,M9
Biomass 35,1,M1
Biomass 35,0.9313,M10
Biomass 35,0.9313,M11
Biomass 35,0.9313,M12
Biomass 35,1,M2
Biomass 35,0.8438,M3
Biomass 35,0.8438,M4
Biomass 35,0.8563,M5
Biomass 35,0.8563,M6
Biomass 35,0.8938,M7
Biomass 35,0.9438,M8
Biomass 35,0.9313,M9
Biomass 36,1,M1
Biomass 36,0.9313,M10
Biomass 36,0.9313,M11
Biomass 36,0.9313,M12
Biomass 36,1,M2
Biomass 36,0.8438,M3
Biomass 36,0.8438,M4
Biomass 36,0.8563,M5
Biomass 36,0.8563,M6
Biomass 36,0.8938,M7
Biomass 36,0.9438,M8
Biomass 36,0.9313,M9
Biomass 37,0.8526,M1
Biomass 37,0.8316,M10
Biomass 37,0.9053,M11
Biomass 37,0.8526,M12
Biomass 37,0.8947,M2
Biomass 37,0.8105,M3
Biomass 37,0.8105,M4
Biomass 37,0.8105,M5
Biomass 37,0.8316,M6
Biomass 37,0.8526,M7
Biomass 37,0.8947,M8
Biomass 37,0.8947,M9
Biomass 38,0.8526,M1
Biomass 38,0.8316,M10
Biomass 38,0.9053,M11
Biomass 38,0.8526,M12
Biomass 38,0.8947,M2
Biomass 38,0.8105,M3
Biomass 38,0.8105,M4
Biomass 38,0.8105,M5
Biomass 38,0.8316,M6
Biomass 38,0.8526,M7
Biomass 38,0.8947,M8
Biomass 38,0.8947,M9
Biomass 39,0.8526,M1
Biomass 39,0.8316,M10
Biomass 39,0.9053,M11
Biomass 39,0.8526,M12
Biomass 39,0.8947,M2
Biomass 39,0.8105,M3
Biomass 39,0.8105,M4
Biomass 39,0.8105,M5
Biomass 39,0.8316,M6
Biomass 39,0.8526,M7
Biomass 39,0.8947,M8
Biomass 39,0.8947,M9
Biomass 4,0.2083,M1
Biomass 4,0.2167,M10
Biomass 4,0.2167,M11
Biomass 4,0.2083,M12
Biomass 4,0.2167,M2
Biomass 4,0.2167,M3
Biomass 4,0.2083,M4
Biomass 4,0.2083,M5
Biomass 4,0.2083,M6
Biomass 4,0.2083,M7
Biomass 4,0.2167,M8
Biomass 4,0.2167,M9
Biomass 40,0.8526,M1
Biomass 40,0.8316,M10
Biomass 40,0.9053,M11
Biomass 40,0.8526,M12
Biomass 40,0.8947,M2
Biomass 40,0.8105,M3
Biomass 40,0.8105,M4
Biomass 40,0.8105,M5
Biomass 40,0.8316,M6
Biomass 40,0.8526,M7
Biomass 40,0.8947,M8
Biomass 40,0.8947,M9
Biomass 41,0.484,M1
Biomass 41,0.7181,M10
Biomass 41,0.766,M11
Biomass 41,0.7819,M12
Biomass 41,0.7606,M2
Biomass 41,0.7872,M3
Biomass 41,0.7181,M4
Biomass 41,0.7128,M5
Biomass 41,0.6755,M6
Biomass 41,0.6649,M7
Biomass 41,0.7553,M8
Biomass 41,0.7287,M9
Biomass 42,0.484,M1
Biomass 42,0.7181,M10
Biomass 42,0.766,M11
Biomass 42,0.7819,M12
Biomass 42,0.7606,M2
Biomass 42,0.7872,M3
Biomass 42,0.7181,M4
Biomass 42,0.7128,M5
Biomass 42,0.6755,M6
Biomass 42,0.6649,M7
Biomass 42,0.7553,M8
Biomass 42,0.7287,M9
Biomass 43,0.76,M1
Biomass 43,0.7867,M10
Biomass 43,0.7467,M11
Biomass 43,0.7627,M12
Biomass 43,0.6613,M2
Biomass 43,0.6987,M3
Biomass 43,0.704,M4
Biomass 43,0.7147,M5
Biomass 43,0.6933,M6
Biomass 43,0.6453,M7
Biomass 43,0.6853,M8
Biomass 43,0.7733,M9
Biomass 44,0.5066,M1
Biomass 44,0.5284,M10
Biomass 44,0.559,M11
Biomass 44,0.5459,M12
Biomass 44,0.5502,M2
Biomass 44,0.559,M3
Biomass 44,0.4891,M4
Biomass 44,0.4803,M5
Biomass 44,0.4847,M6
Biomass 44,0.5109,M7
Biomass 44,0.5459,M8
Biomass 44,0.5502,M9
Biomass 45,0.5066,M1
Biomass 45,0.5284,M10
Biomass 45,0.559,M11
Biomass 45,0.5459,M12
Biomass 45,0.5502,M2
Biomass 45,0.559,M3
Biomass 45,0.4891,M4
Biomass 45,0.4803,M5
Biomass 45,0.4847,M6
Biomass 45,0.5109,M7
Biomass 45,0.5459,M8
Biomass 45,0.5502,M9
Biomass 46,0.5083,M1
Biomass 46,0.5417,M10
Biomass 46,0.5583,M11
Biomass 46,0.5417,M12
Biomass 46,0.5083,M2
Biomass 46,0.5583,M3
Biomass 46,0.4833,M4
Biomass 46,0.4833,M5
Biomass 46,0.4833,M6
Biomass 46,0.5083,M7
Biomass 46,0.5417,M8
Biomass 46,0.5417,M9
Biomass 47,0.7833,M1
Biomass 47,0.7767,M10
Biomass 47,0.8367,M11
Biomass 47,0.7933,M12
Biomass 47,0.8267,M2
Biomass 47,0.7433,M3
Biomass 47,0.7967,M4
Biomass 47,0.78,M5
Biomass 47,0.9367,M6
Biomass 47,0.92,M7
Biomass 47,0.8767,M8
Biomass 47,0.8967,M9
Biomass 48,0.7833,M1
Biomass 48,0.7767,M10
Biomass 48,0.8367,M11
Biomass 48,0.7933,M12
Biomass 48,0.8267,M2
Biomass 48,0.7433,M3
Biomass 48,0.7967,M4
Biomass 48,0.78,M5
Biomass 48,0.9367,M6
Biomass 48,0.92,M7
Biomass 48,0.8767,M8
Biomass 48,0.8967,M9
Biomass 49,0.25,M1
Biomass 49,0.1813,M10
Biomass 49,0.2,M11
Biomass 49,0.2063,M12
Biomass 49,0.25,M2
Biomass 49,0.2313,M3
Biomass 49,0.2188,M4
Biomass 49,0.2,M5
Biomass 49,0.1938,M6
Biomass 49,0.1875,M7
Biomass 49,0.1875,M8
Biomass 49,0.1938,M9
Biomass 5,0.3462,M1
Biomass 5,0.3462,M10
Biomass 5,0.3692,M11
Biomass 5,0.3538,M12
Biomass 5,0.3692,M2
Biomass 5,0.3308,M3
Biomass 5,0.3385,M4
Biomass 5,0.3385,M5
Biomass 5,0.3385,M6
Biomass 5,0.3538,M7
Biomass 5,0.3692,M8
Biomass 5,0.3692,M9
Biomass 50,0.2,M1
Biomass 50,0.2,M10
Biomass 50,0.2222,M11
Biomass 50,0.2111,M12
Biomass 50,0.2222,M2
Biomass 50,0.2,M3
Biomass 50,0.2111,M4
Biomass 50,0.2,M5
Biomass 50,0.2,M6
Biomass 50,0.2,M7
Biomass 50,0.2111,M8
Biomass 50,0.2111,M9
Biomass 51,0.2,M1
Biomass 51,0.2,M10
Biomass 51,0.2222,M11
Biomass 51,0.2111,M12
Biomass 51,0.2222,M2
Biomass 51,0.2,M3
Biomass 51,0.2111,M4
Biomass 51,0.2,M5
Biomass 51,0.2,M6
Biomass 51,0.2,M7
Biomass 51,0.2111,M8
Biomass 51,0.2111,M9
Biomass 52,0.5733,M1
Biomass 52,0.5833,M10
Biomass 52,0.5433,M11
Biomass 52,0.4967,M12
Biomass 52,0.6667,M2
Biomass 52,0.6133,M3
Biomass 52,0.6133,M4
Biomass 52,0.5933,M5
Biomass 52,0.59,M6
Biomass 52,0.5333,M7
Biomass 52,0.53,M8
Biomass 52,0.5633,M9
Biomass 53,0.83,M1
Biomass 53,0.82,M10
Biomass 53,0.8867,M11
Biomass 53,0.84,M12
Biomass 53,0.88,M2
Biomass 53,0.7933,M3
Biomass 53,0.7933,M4
Biomass 53,0.7967,M5
Biomass 53,0.81,M6
Biomass 53,0.83,M7
Biomass 53,0.8767,M8
Biomass 53,0.87,M9
Biomass 54,0.83,M1
Biomass 54,0.82,M10
Biomass 54,0.8867,M11
Biomass 54,0.84,M12
Biomass 54,0.88,M2
Biomass 54,0.7933,M3
Biomass 54,0.7933,M4
Biomass 54,0.7967,M5
Biomass 54,0.81,M6
Biomass 54,0.83,M7
Biomass 54,0.8767,M8
Biomass 54,0.87,M9
Biomass 55,0.83,M1
Biomass 55,0.82,M10
Biomass 55,0.8867,M11
Biomass 55,0.84,M12
Biomass 55,0.88,M2
Biomass 55,0.7933,M3
Biomass 55,0.7933,M4
Biomass 55,0.7967,M5
Biomass 55,0.81,M6
Biomass 55,0.83,M7
Biomass 55,0.8767,M8
Biomass 55,0.87,M9
Biomass 56,0.5543,M1
Biomass 56,0.5391,M10
Biomass 56,0.5413,M11
Biomass 56,0.5565,M12
Biomass 56,0.5696,M2
Biomass 56,0.5239,M3
Biomass 56,0.4522,M4
Biomass 56,0.4413,M5
Biomass 56,0.5,M6
Biomass 56,0.5348,M7
Biomass 56,0.5696,M8
Biomass 56,0.5739,M9
Biomass 57,0.6767,M1
Biomass 57,0.67,M10
Biomass 57,0.6733,M11
Biomass 57,0.68,M12
Biomass 57,0.68,M2
Biomass 57,0.6333,M3
Biomass 57,0.61,M4
Biomass 57,0.5833,M5
Biomass 57,0.6867,M6
Biomass 57,0.7267,M7
Biomass 57,0.7267,M8
Biomass 57,0.72,M9
Biomass 58,0.6767,M1
Biomass 58,0.67,M10
Biomass 58,0.6733,M11
Biomass 58,0.68,M12
Biomass 58,0.68,M2
Biomass 58,0.6333,M3
Biomass 58,0.61,M4
Biomass 58,0.5833,M5
Biomass 58,0.6867,M6
Biomass 58,0.7267,M7
Biomass 58,0.7267,M8
Biomass 58,0.72,M9
Biomass 6,0.3462,M1
Biomass 6,0.3462,M10
Biomass 6,0.3692,M11
Biomass 6,0.3538,M12
Biomass 6,0.3692,M2
Biomass 6,0.3308,M3
Biomass 6,0.3385,M4
Biomass 6,0.3385,M5
Biomass 6,0.3385,M6
Biomass 6,0.3538,M7
Biomass 6,0.3692,M8
Biomass 6,0.3692,M9
Biomass 61,0.25,M1
Biomass 61,0.1809,M10
Biomass 61,0.2021,M11
Biomass 61,0.2074,M12
Biomass 61,0.2447,M2
Biomass 61,0.2287,M3
Biomass 61,0.2181,M4
Biomass 61,0.1968,M5
Biomass 61,0.1915,M6
Biomass 61,0.1862,M7
Biomass 61,0.1862,M8
Biomass 61,0.1915,M9
Biomass 62,0.2493,M1
Biomass 62,0.2453,M10
Biomass 62,0.2333,M11
Biomass 62,0.2587,M12
Biomass 62,0.2613,M2
Biomass 62,0.2453,M3
Biomass 62,0.1947,M4
Biomass 62,0.2133,M5
Biomass 62,0.2547,M6
Biomass 62,0.276,M7
Biomass 62,0.2653,M8
Biomass 62,0.2653,M9
Biomass 7,0.6667,M1
Biomass 7,0.6667,M10
Biomass 7,0.6667,M11
Biomass 7,0.6667,M12
Biomass 7,0.6667,M2
Biomass 7,0.6667,M3
Biomass 7,0.6667,M4
Biomass 7,0.6667,M5
Biomass 7,0.6667,M6
Biomass 7,0.6667,M7
Biomass 7,0.6667,M8
Biomass 7,0.6667,M9
Biomass 8,0.5778,M1
Biomass 8,0.5704,M10
Biomass 8,0.6148,M11
Biomass 8,0.5778,M12
Biomass 8,0.637,M2
Biomass 8,0.6074,M3
Biomass 8,0.5481,M4
Biomass 8,0.5556,M5
Biomass 8,0.6444,M6
Biomass 8,0.5778,M7
Biomass 8,0.6074,M8
Biomass 8,0.6074,M9
Biomass 9,0.5778,M1
Biomass 9,0.5704,M10
Biomass 9,0.6148,M11
Biomass 9,0.5778,M12
Biomass 9,0.637,M2
Biomass 9,0.6074,M3
Biomass 9,0.5481,M4
Biomass 9,0.5556,M5
Biomass 9,0.6444,M6
Biomass 9,0.5778,M7
Biomass 9,0.6074,M8
Biomass 9,0.6074,M9
CC NG 1,0.5405,M1
CC NG 1,0.5405,M10
CC NG 1,0.5405,M11
CC NG 1,0.5405,M12
CC NG 1,0.5405,M2
CC NG 1,0.5405,M3
CC NG 1,0.5405,M4
CC NG 1,0.5405,M5
CC NG 1,0.5405,M6
CC NG 1,0.5405,M7
CC NG 1,0.5405,M8
CC NG 1,0.5405,M9
CC NG 10,0.7551,M1
CC NG 10,0.7551,M10
CC NG 10,0.7551,M11
CC NG 10,0.7551,M12
CC NG 10,0.7551,M2
CC NG 10,0.7551,M3
CC NG 10,0.7551,M4
CC NG 10,0.7551,M5
CC NG 10,0.7551,M6
CC NG 10,0.7551,M7
CC NG 10,0.7551,M8
CC NG 10,0.7551,M9
CC NG 11,0.8384,M1
CC NG 11,0.8384,M10
CC NG 11,0.8384,M11
CC NG 11,0.8384,M12
CC NG 11,0.8384,M2
CC NG 11,0.8384,M3
CC NG 11,0.8384,M4
CC NG 11,0.8384,M5
CC NG 11,0.7805,M6
CC NG 11,0.7805,M7
CC NG 11,0.7805,M8
CC NG 11,0.7805,M9
CC NG 12,0.9287,M1
CC NG 12,0.9287,M10
CC NG 12,0.9287,M11
CC NG 12,0.9287,M12
CC NG 12,0.9287,M2
CC NG 12,0.9287,M3
CC NG 12,0.9287,M4
CC NG 12,0.9287,M5
CC NG 12,0.8172,M6
CC NG 12,0.8172,M7
CC NG 12,0.8172,M8
CC NG 12,0.8172,M9
CC NG 13,0.3726,M1
CC NG 13,0.3726,M10
CC NG 13,0.3726,M11
CC NG 13,0.3726,M12
CC NG 13,0.3726,M2
CC NG 13,0.3726,M3
CC NG 13,0.3726,M4
CC NG 13,0.3726,M5
CC NG 13,0.3726,M6
CC NG 13,0.3726,M7
CC NG 13,0.3726,M8
CC NG 13,0.3726,M9
CC NG 14,0.9712,M1
CC NG 14,0.9712,M10
CC NG 14,0.9712,M11
CC NG 14,0.9712,M12
CC NG 14,0.9712,M2
CC NG 14,0.9712,M3
CC NG 14,0.9712,M4
CC NG 14,0.9712,M5
CC NG 14,0.9041,M6
CC NG 14,0.9041,M7
CC NG 14,0.9041,M8
CC NG 14,0.9041,M9
CC NG 15,0.4444,M1
CC NG 15,0.4444,M10
CC NG 15,0.4444,M11
CC NG 15,0.4444,M12
CC NG 15,0.4444,M2
CC NG 15,0.4444,M3
CC NG 15,0.4444,M4
CC NG 15,0.4444,M5
CC NG 15,0.3911,M6
CC NG 15,0.3911,M7
CC NG 15,0.3911,M8
CC NG 15,0.3911,M9
CC NG 16,1,M1
CC NG 16,0.9083,M10
CC NG 16,0.9083,M11
CC NG 16,0.9083,M12
CC NG 16,1,M2
CC NG 16,1,M3
CC NG 16,1,M4
CC NG 16,1,M5
CC NG 16,0.8152,M6
CC NG 16,0.8152,M7
CC NG 16,0.8152,M8
CC NG 16,0.8152,M9
CC NG 17,0.9573,M1
CC NG 17,0.9573,M10
CC NG 17,0.9573,M11
CC NG 17,0.9573,M12
CC NG 17,0.9573,M2
CC NG 17,0.9573,M3
CC NG 17,0.9573,M4
CC NG 17,0.9573,M5
CC NG 17,0.8913,M6
CC NG 17,0.8913,M7
CC NG 17,0.8913,M8
CC NG 17,0.8913,M9
CC NG 18,0.9047,M1
CC NG 18,0.9047,M10
CC NG 18,0.9047,M11
CC NG 18,0.9047,M12
CC NG 18,0.9047,M2
CC NG 18,0.9047,M3
CC NG 18,0.9047,M4
CC NG 18,0.9047,M5
CC NG 18,0.8423,M6
CC NG 18,0.8423,M7
CC NG 18,0.8423,M8
CC NG 18,0.8423,M9
CC NG 19,1,M1
CC NG 19,0.7501,M10
CC NG 19,0.7501,M11
CC NG 19,0.7501,M12
CC NG 19,1,M2
CC NG 19,1,M3
CC NG 19,1,M4
CC NG 19,1,M5
CC NG 19,0.75,M6
CC NG 19,0.75,M7
CC NG 19,0.75,M8
CC NG 19,0.75,M9
CC NG 20,1,M1
CC NG 20,1,M10
CC NG 20,1,M11
CC NG 20,1,M12
CC NG 20,1,M2
CC NG 20,1,M3
CC NG 20,1,M4
CC NG 20,1,M5
CC NG 20,1,M6
CC NG 20,1,M7
CC NG 20,1,M8
CC NG 20,1,M9
CC NG 21,1,M1
CC NG 21,0.8159,M10
CC NG 21,0.8159,M11
CC NG 21,0.8159,M12
CC NG 21,1,M2
CC NG 21,1,M3
CC NG 21,1,M4
CC NG 21,1,M5
CC NG 21,0.8159,M6
CC NG 21,0.8159,M7
CC NG 21,0.8159,M8
CC NG 21,0.8159,M9
CC NG 22,1,M1
CC NG 22,0.8365,M10
CC NG 22,0.8365,M11
CC NG 22,0.8365,M12
CC NG 22,1,M2
CC NG 22,1,M3
CC NG 22,1,M4
CC NG 22,1,M5
CC NG 22,0.8365,M6
CC NG 22,0.8365,M7
CC NG 22,0.8365,M8
CC NG 22,0.8365,M9
CC NG 23,1,M1
CC NG 23,0.8585,M10
CC NG 23,0.8585,M11
CC NG 23,0.8585,M12
CC NG 23,1,M2
CC NG 23,1,M3
CC NG 23,1,M4
CC NG 23,1,M5
CC NG 23,0.8585,M6
CC NG 23,0.8585,M7
CC NG 23,0.8585,M8
CC NG 23,0.8585,M9
CC NG 24,0.9279,M1
CC NG 24,0.9279,M10
CC NG 24,0.9279,M11
CC NG 24,0.9279,M12
CC NG 24,0.9279,M2
CC NG 24,0.9279,M3
CC NG 24,0.9279,M4
CC NG 24,0.9279,M5
CC NG 24,0.8715,M6
CC NG 24,0.8715,M7
CC NG 24,0.8715,M8
CC NG 24,0.8715,M9
CC NG 25,0.831,M1
CC NG 25,0.831,M10
CC NG 25,0.831,M11
CC NG 25,0.831,M12
CC NG 25,0.831,M2
CC NG 25,0.831,M3
CC NG 25,0.831,M4
CC NG 25,0.831,M5
CC NG 25,0.831,M6
CC NG 25,0.831,M7
CC NG 25,0.831,M8
CC NG 25,0.831,M9
CC NG 26,1,M1
CC NG 26,0.9389,M10
CC NG 26,0.9389,M11
CC NG 26,0.9389,M12
CC NG 26,1,M2
CC NG 26,1,M3
CC NG 26,1,M4
CC NG 26,1,M5
CC NG 26,0.9389,M6
CC NG 26,0.9389,M7
CC NG 26,0.9389,M8
CC NG 26,0.9389,M9
CC NG 27,0.6612,M1
CC NG 27,0.6546,M10
CC NG 27,0.6546,M11
CC NG 27,0.6546,M12
CC NG 27,0.6546,M2
CC NG 27,0.6546,M3
CC NG 27,0.6546,M4
CC NG 27,0.6546,M5
CC NG 27,0.6546,M6
CC NG 27,0.6546,M7
CC NG 27,0.6546,M8
CC NG 27,0.6546,M9
CC NG 28,0.9091,M1
CC NG 28,0.9091,M10
CC NG 28,0.9091,M11
CC NG 28,0.9091,M12
CC NG 28,0.9091,M2
CC NG 28,0.9091,M3
CC NG 28,0.9091,M4
CC NG 28,0.9091,M5
CC NG 28,0.8818,M6
CC NG 28,0.8818,M7
