GEN UID,Bus ID,Gen ID,Unit Group,Unit Type,Category,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Non Fuel Shutdown Cost $,FOR,MTTF Hr,MTTR Hr,Scheduled Maint Weeks,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,VOM,Fuel Sulfur Content %,Emissions SO2 Lbs/MMBTU,Emissions NOX Lbs/MMBTU,Emissions Part Lbs/MMBTU,Emissions CO2 Lbs/MMBTU,Emissions CH4 Lbs/MMBTU,Emissions N2O Lbs/MMBTU,Emissions CO Lbs/MMBTU,Emissions VOCs Lbs/MMBTU,Damping Ratio,Inertia MJ/MW,Base MVA,Transformer X p.u.,Unit X p.u.,Pump Load MW,Storage Roundtrip Efficiency
123_CT_1,123,1,U55,CT,Gas CT,NG,55,0.62,1.05,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,12725,6757,7667,7998,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
123_CT_4,123,4,U55,CT,Gas CT,NG,55,0.62,1.05,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,12725,6757,7667,7998,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
123_CT_5,123,5,U55,CT,Gas CT,NG,55,0.62,1.05,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,12725,6757,7667,7998,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
201_CT_1,201,1,U20,CT,Oil CT,Oil,8,5.29,1.05,20,8,10,0,1,1,3,1,0,0,5,5,5,0,0,0.1,450,50,2,10.3494,0.4,0.6,0.8,1,NA,13977,7969,8107,10782,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0
201_CT_2,201,2,U20,CT,Oil CT,Oil,8,5.29,1.05,20,8,10,0,1,1,3,1,0,0,5,5,5,0,0,0.1,450,50,2,10.3494,0.4,0.6,0.8,1,NA,13977,7969,8107,10782,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0
201_STEAM_3,201,3,U76,STEAM,Coal,Coal,76,6.99,1.05,76,30,30,-25,4,8,2,12,10,3,5284.8,4861.4,3379.4,0,0,0.02,1960,40,3,2.11399,0.394736842,0.596491228,0.798245614,1,NA,12989,10495,11090,12185,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3,89,0.13,0.3,0,0
202_CT_1,202,1,U20,CT,Oil CT,Oil,8,5.13,1.05,20,8,10,0,1,1,3,1,0,0,5,5,5,0,0,0.1,450,50,2,10.3494,0.4,0.6,0.8,1,NA,13663,7836,8442,9454,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0
202_CT_2,202,2,U20,CT,Oil CT,Oil,8,5.13,1.05,20,8,10,0,1,1,3,1,0,0,5,5,5,0,0,0.1,450,50,2,10.3494,0.4,0.6,0.8,1,NA,13663,7836,8442,9454,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0
202_STEAM_3,202,3,U76,STEAM,Coal,Coal,76,2.01,1.05,76,30,30,-25,4,8,2,12,10,3,5284.8,4861.4,3379.4,0,0,0.02,1960,40,3,2.11399,0.394736842,0.596491228,0.798245614,1,NA,11846,9989,10070,12902,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3,89,0.13,0.3,0,0
202_STEAM_4,202,4,U76,STEAM,Coal,Coal,76,2.01,1.05,76,30,30,-25,4,8,2,12,10,3,5284.8,4861.4,3379.4,0,0,0.02,1960,40,3,2.11399,0.394736842,0.596491228,0.798245614,1,NA,11846,9989,10070,12902,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3,89,0.13,0.3,0,0
207_CT_1,207,1,U55,CT,Gas CT,NG,55,19,0.9699,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,13051,8804,9481,10955,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
207_CT_2,207,2,U55,CT,Gas CT,NG,55,19,0.9699,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,13051,8804,9481,10955,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
213_CC_3,213,3,U355,CC,Gas CC,NG,355,135.8,1.05,355,170,150,-25,4.5,8,4.14,2,1,0.5,7215.1,4536.1,3196.6,0,0,0.033,967,33,1.07,3.88722,0.478873239,0.65258216,0.82629108,1,NA,7824,6334,6979,8749,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,5,414,0.13,0.3,0,0
213_CT_1,213,1,U55,CT,Gas CT,NG,55,9.23,1.05,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,13125,6899,7602,7797,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
213_CT_2,213,2,U55,CT,Gas CT,NG,55,9.23,1.05,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,13125,6899,7602,7797,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
215_CT_4,215,4,U55,CT,Gas CT,NG,55,19,1.0437,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,14229,6668,6987,8421,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
215_CT_5,215,5,U55,CT,Gas CT,NG,55,19,1.0437,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,14229,6668,6987,8421,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
216_STEAM_1,216,1,U155,STEAM,Coal,Coal,155,80,1.0473,155,62,80,-50,8,8,3,60,11,3,10778.1,7437.5,6892.1,0,0,0.04,960,40,4,2.11399,0.4,0.6,0.8,1,NA,10881,8786,10333,11191,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3,182,0.13,0.3,0,0
218_CC_1,218,1,U355,CC,Gas CC,NG,355,60.3,1.05,355,170,150,-25,4.5,8,4.14,2,1,0.5,7215.1,4536.1,3196.6,0,0,0.033,967,33,1.07,3.88722,0.478873239,0.65258216,0.82629108,1,NA,11385,5388,5575,7658,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,5,414,0.13,0.3,0,0
221_CC_1,221,1,U355,CC,Gas CC,NG,296.97,-7.52,1.05,355,170,150,-25,4.5,8,4.14,2,1,0.5,7215.1,4536.1,3196.6,0,0,0.033,967,33,1.07,3.88722,0.478873239,0.65258216,0.82629108,1,NA,6887,5950,6772,9293,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,5,414,0.13,0.3,0,0
223_STEAM_1,223,1,U155,STEAM,Coal,Coal,155,-10.31,1.05,155,62,80,-50,8,8,3,60,11,3,10778.1,7437.5,6892.1,0,0,0.04,960,40,4,2.11399,0.4,0.6,0.8,1,NA,10857,9004,9314,9659,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3,182,0.13,0.3,0,0
223_STEAM_2,223,2,U155,STEAM,Coal,Coal,155,-10.31,1.05,155,62,80,-50,8,8,3,60,11,3,10778.1,7437.5,6892.1,0,0,0.04,960,40,4,2.11399,0.4,0.6,0.8,1,NA,10857,9004,9314,9659,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3,182,0.13,0.3,0,0
223_STEAM_3,223,3,U350,STEAM,Coal,Coal,350,20.59,1.05,350,140,150,-25,48,24,4,96,12,8,17384.1,10114.4,9768.2,0,0,0.08,1150,100,5,2.11399,0.4,0.6,0.8,1,NA,11229,8922,10913,11645,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3,412,0.13,0.3,0,0
223_CT_4,223,4,U55,CT,Gas CT,NG,22,0.24,1.05,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,19794,9595,10225,10676,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
223_CT_5,223,5,U55,CT,Gas CT,NG,22,0.24,1.05,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,19794,9595,10225,10676,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
223_CT_6,223,6,U55,CT,Gas CT,NG,22,0.24,1.05,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,19794,9595,10225,10676,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
301_CT_1,301,1,U20,CT,Oil CT,Oil,8,7.95,1.05,20,8,10,0,1,1,3,1,0,0,5,5,5,0,0,0.1,450,50,2,10.3494,0.4,0.6,0.8,1,NA,14593,8431,9633,10181,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0
301_CT_2,301,2,U20,CT,Oil CT,Oil,8,7.95,1.05,20,8,10,0,1,1,3,1,0,0,5,5,5,0,0,0.1,450,50,2,10.3494,0.4,0.6,0.8,1,NA,14593,8431,9633,10181,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0
301_CT_3,301,3,U55,CT,Gas CT,NG,44,16.53,1.05,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,13090,7324,7534,11253,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
301_CT_4,301,4,U55,CT,Gas CT,NG,44,16.53,1.05,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,13090,7324,7534,11253,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
302_CT_1,302,1,U20,CT,Oil CT,Oil,8,6.16,1.05,20,8,10,0,1,1,3,1,0,0,5,5,5,0,0,0.1,450,50,2,10.3494,0.4,0.6,0.8,1,NA,14593,8431,9633,10181,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0
302_CT_2,302,2,U20,CT,Oil CT,Oil,8,6.16,1.05,20,8,10,0,1,1,3,1,0,0,5,5,5,0,0,0.1,450,50,2,10.3494,0.4,0.6,0.8,1,NA,14593,8431,9633,10181,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0
302_CT_3,302,3,U55,CT,Gas CT,NG,55,10.99,1.05,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,15395,8693,9874,9939,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
302_CT_4,302,4,U55,CT,Gas CT,NG,55,10.99,1.05,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,15395,8693,9874,9939,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
307_CT_1,307,1,U55,CT,Gas CT,NG,55,19,0.9568,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,13353,7176,7517,9126,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
307_CT_2,307,2,U55,CT,Gas CT,NG,55,19,0.9568,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,13353,7176,7517,9126,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
313_CC_1,313,1,U355,CC,Gas CC,NG,355,150,1.035,355,170,150,-25,4.5,8,4.14,2,1,0.5,7215.1,4536.1,3196.6,0,0,0.033,967,33,1.07,3.88722,0.478873239,0.65258216,0.82629108,1,NA,7934,4047,6883,8683,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,5,414,0.13,0.3,0,0
315_STEAM_1,315,1,U12,STEAM,Oil ST,Oil,5,6,1.0422,12,5,6,0,2,4,1,12,4,2,68,44,38,0,0,0.02,2940,60,2,10.3494,0.416666667,0.611111111,0.805555556,1,NA,14410,7289,9701,11991,NA,0,Unit-Specific,Unit-specific,0.5,0.1,170,0.002,0.004,0.04,0.007,0,2.8,14,0.13,0.32,0,0
315_STEAM_2,315,2,U12,STEAM,Oil ST,Oil,5,6,1.0422,12,5,6,0,2,4,1,12,4,2,68,44,38,0,0,0.02,2940,60,2,10.3494,0.416666667,0.611111111,0.805555556,1,NA,14410,7289,9701,11991,NA,0,Unit-Specific,Unit-specific,0.5,0.1,170,0.002,0.004,0.04,0.007,0,2.8,14,0.13,0.32,0,0
315_STEAM_3,315,3,U12,STEAM,Oil ST,Oil,5,6,1.0422,12,5,6,0,2,4,1,12,4,2,68,44,38,0,0,0.02,2940,60,2,10.3494,0.416666667,0.611111111,0.805555556,1,NA,14410,7289,9701,11991,NA,0,Unit-Specific,Unit-specific,0.5,0.1,170,0.002,0.004,0.04,0.007,0,2.8,14,0.13,0.32,0,0
315_STEAM_4,315,4,U12,STEAM,Oil ST,Oil,5,6,1.0422,12,5,6,0,2,4,1,12,4,2,68,44,38,0,0,0.02,2940,60,2,10.3494,0.416666667,0.611111111,0.805555556,1,NA,14410,7289,9701,11991,NA,0,Unit-Specific,Unit-specific,0.5,0.1,170,0.002,0.004,0.04,0.007,0,2.8,14,0.13,0.32,0,0
315_STEAM_5,315,5,U12,STEAM,Oil ST,Oil,5,6,1.0422,12,5,6,0,2,4,1,12,4,2,68,44,38,0,0,0.02,2940,60,2,10.3494,0.416666667,0.611111111,0.805555556,1,NA,14410,7289,9701,11991,NA,0,Unit-Specific,Unit-specific,0.5,0.1,170,0.002,0.004,0.04,0.007,0,2.8,14,0.13,0.32,0,0
315_CT_6,315,6,U55,CT,Gas CT,NG,55,19,1.0422,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,10342,6792,6919,8195,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
315_CT_7,315,7,U55,CT,Gas CT,NG,55,19,1.0422,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,10342,6792,6919,8195,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
315_CT_8,315,8,U55,CT,Gas CT,NG,55,60,1.0422,55,22,60,0,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,10342,6792,6919,8195,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
316_STEAM_1,316,1,U155,STEAM,Coal,Coal,155,80,1.0449,155,62,80,-50,8,8,3,60,11,3,10778.1,7437.5,6892.1,0,0,0.04,960,40,4,2.11399,0.4,0.6,0.8,1,NA,11846,9989,10070,12902,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3,182,0.13,0.3,0,0
318_CC_1,318,1,U355,CC,Gas CC,NG,355,63.12,1.05,355,170,150,-25,4.5,8,4.14,2,1,0.5,7215.1,4536.1,3196.6,0,0,0.033,967,33,1.07,3.88722,0.478873239,0.65258216,0.82629108,1,NA,7952,6906,7017,8111,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,5,414,0.13,0.3,0,0
321_CC_1,321,1,U355,CC,Gas CC,NG,355,-3.34,1.05,355,170,150,-25,4.5,8,4.14,2,1,0.5,7215.1,4536.1,3196.6,0,0,0.033,967,33,1.07,3.88722,0.478873239,0.65258216,0.82629108,1,NA,7227,5848,6665,8733,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,5,414,0.13,0.3,0,0
322_CT_5,322,5,U55,CT,Gas CT,NG,55,-9.73,1.05,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,12064,6003,6817,7176,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
322_CT_6,322,6,U55,CT,Gas CT,NG,55,-9.73,1.05,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,12064,6003,6817,7176,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0
