Generator Name,bus of connection,Max Capacity (MW),Commit,Data File of Commit,Scenario of Commit,Heat Rate Base (MMBTU/hr),Heat Rate Inc Band 1 (BTU/kWh),Heat Rate Inc Band 2 (BTU/kWh),Heat Rate Inc Band 3 (BTU/kWh),Heat Rate Inc Band 4 (BTU/kWh),Heat Rate Inc Band 5 (BTU/kWh),Load Point Band 1 (MW),Load Point Band 2 (MW),Load Point Band 3 (MW),Load Point Band 4 (MW),Load Point Band 5 (MW),Escalator of Load Point (all bands),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Escalator of Min Stable Level,Start Cost ($),VO&M Charge ($/MWh),Rating,Escalator of rating,Committed in following market in PLEXOS
Biomass 25,bus012,1,0,DA UC,RT,3.64,12120,,,,,1,,,,,Biomass 25,0.42,0.42,6,6,0.2,Biomass 25,5.3,1.91,1,Biomass 25,DA
Biomass 26,bus012,1.9,0,DA UC,RT,9.69,11819.23,12422.19,13814.7,,,0.95,1.52,1.9,,,Biomass 26,0.19,0.18,8,8,0.57,Biomass 26,10.07,1.91,1.9,Biomass 26,DA
Biomass 27,bus012,1.9,0,DA UC,RT,9.69,11819.23,12422.19,13814.7,,,0.95,1.52,1.9,,,Biomass 27,0.19,0.18,8,8,0.57,Biomass 27,10.07,1.91,1.9,Biomass 27,DA
Biomass 28,bus012,1.9,0,DA UC,RT,9.69,11819.23,12422.19,13814.7,,,0.95,1.52,1.9,,,Biomass 28,0.19,0.18,8,8,0.57,Biomass 28,10.07,1.91,1.9,Biomass 28,DA
Biomass 29,bus012,1.9,0,DA UC,RT,9.69,11819.23,12422.19,13814.7,,,0.95,1.52,1.9,,,Biomass 29,0.19,0.18,8,8,0.57,Biomass 29,10.07,1.91,1.9,Biomass 29,DA
Biomass 30,bus012,1.9,0,DA UC,RT,9.69,11819.23,12422.19,13814.7,,,0.95,1.52,1.9,,,Biomass 30,0.19,0.18,8,8,0.57,Biomass 30,10.07,1.91,1.9,Biomass 30,DA
Biomass 31,bus012,1.9,0,DA UC,RT,9.69,11819.23,12422.19,13814.7,,,0.95,1.52,1.9,,,Biomass 31,0.19,0.18,8,8,0.57,Biomass 31,10.07,1.91,1.9,Biomass 31,DA
Biomass 32,bus012,1.9,0,DA UC,RT,6.91,12120,,,,,1.9,,,,,Biomass 32,0.42,0.42,6,6,0.57,Biomass 32,10.07,1.91,1.9,Biomass 32,DA
Biomass 33,bus103,1.6,0,DA UC,RT,5.69,11855,,,,,1.6,,,,,Biomass 33,0.42,0.42,8,5,0.48,Biomass 33,8.48,1.91,1.6,Biomass 33,DA
Biomass 34,bus103,1.6,0,DA UC,RT,5.69,11855,,,,,1.6,,,,,Biomass 34,0.42,0.42,8,5,0.48,Biomass 34,8.48,1.91,1.6,Biomass 34,DA
Biomass 35,bus103,1.6,0,DA UC,RT,5.69,11855,,,,,1.6,,,,,Biomass 35,0.42,0.42,8,5,0.48,Biomass 35,8.48,1.91,1.6,Biomass 35,DA
Biomass 36,bus103,1.6,0,DA UC,RT,5.69,11855,,,,,1.6,,,,,Biomass 36,0.42,0.42,8,5,0.48,Biomass 36,8.48,1.91,1.6,Biomass 36,DA
Biomass 37,bus103,0.95,0,DA UC,RT,3.45,12120,,,,,0.95,,,,,Biomass 37,0.42,0.42,6,6,0.28,Biomass 37,5.04,1.91,0.95,Biomass 37,DA
Biomass 38,bus103,0.95,0,DA UC,RT,3.45,12120,,,,,0.95,,,,,Biomass 38,0.42,0.42,6,6,0.19,Biomass 38,5.04,1.91,0.95,Biomass 38,DA
Biomass 39,bus103,0.95,0,DA UC,RT,3.45,12120,,,,,0.95,,,,,Biomass 39,0.42,0.42,6,6,0.19,Biomass 39,5.04,1.91,0.95,Biomass 39,DA
Biomass 40,bus103,0.95,0,DA UC,RT,3.45,12120,,,,,0.95,,,,,Biomass 40,0.42,0.42,6,6,0.19,Biomass 40,5.04,1.91,0.95,Biomass 40,DA
Biomass 41,bus103,1.88,0,DA UC,RT,6.84,12120,,,,,1.88,,,,,Biomass 41,0.42,0.42,8,8,0.56,Biomass 41,9.96,1.91,1.88,Biomass 41,DA
Biomass 42,bus103,1.88,0,DA UC,RT,6.84,12120,,,,,1.88,,,,,Biomass 42,0.42,0.42,8,8,0.56,Biomass 42,9.96,1.91,1.88,Biomass 42,DA
Biomass 43,bus103,3.75,0,DA UC,RT,16.81,10389.48,10919.5,12143.56,,,1.88,3,3.75,,,Biomass 43,0.06,0.07,8,8,1.12,Biomass 43,19.88,1.91,3.75,Biomass 43,DA
Biomass 44,bus103,2.29,0,DA UC,RT,8.33,12120,,,,,2.29,,,,,Biomass 44,0.42,0.42,8,5,0.69,Biomass 44,12.14,1.91,2.29,Biomass 44,DA
Biomass 45,bus103,2.29,0,DA UC,RT,8.33,12120,,,,,2.29,,,,,Biomass 45,0.42,0.42,8,5,0.69,Biomass 45,12.14,1.91,2.29,Biomass 45,DA
Biomass 46,bus103,1.2,0,DA UC,RT,4.36,12120,,,,,1.2,,,,,Biomass 46,0.42,0.42,8,5,0.36,Biomass 46,6.36,1.91,1.2,Biomass 46,DA
Biomass 47,bus103,3,0,DA UC,RT,12.46,13849,,,,,3,,,,,Biomass 47,0.42,0.42,8,5,0.9,Biomass 47,15.9,1.91,3,Biomass 47,DA
Biomass 48,bus103,3,0,DA UC,RT,12.46,13849,,,,,3,,,,,Biomass 48,0.42,0.42,8,5,0.9,Biomass 48,15.9,1.91,3,Biomass 48,DA
Biomass 49,bus103,1.6,0,DA UC,RT,5.82,12120,,,,,1.6,,,,,Biomass 49,0.42,0.42,6,6,0.32,Biomass 49,8.48,1.91,1.6,Biomass 49,DA
Biomass 50,bus103,0.9,0,DA UC,RT,3.27,12120,,,,,0.9,,,,,Biomass 50,0.42,0.42,6,6,0.27,Biomass 50,4.77,1.91,0.9,Biomass 50,DA
Biomass 51,bus103,0.9,0,DA UC,RT,3.27,12120,,,,,0.9,,,,,Biomass 51,0.42,0.42,6,6,0.18,Biomass 51,4.77,1.91,0.9,Biomass 51,DA
Biomass 52,bus103,3,0,DA UC,RT,10.91,12120,,,,,3,,,,,Biomass 52,0.42,0.42,6,6,0.9,Biomass 52,15.9,1.91,3,Biomass 52,DA
Biomass 53,bus034,3,0,DA UC,RT,10.91,12120,,,,,3,,,,,Biomass 53,0.42,0.42,6,6,0.6,Biomass 53,15.9,1.91,3,Biomass 53,DA
Biomass 54,bus034,3,0,DA UC,RT,10.91,12120,,,,,3,,,,,Biomass 54,0.42,0.42,6,6,0.6,Biomass 54,15.9,1.91,3,Biomass 54,DA
Biomass 55,bus034,3,0,DA UC,RT,10.91,12120,,,,,3,,,,,Biomass 55,0.42,0.42,6,6,0.6,Biomass 55,15.9,1.91,3,Biomass 55,DA
Biomass 56,bus012,4.6,0,DA UC,RT,16.73,12120,,,,,4.6,,,,,Biomass 56,0.42,0.42,8,8,1.38,Biomass 56,24.38,1.91,4.6,Biomass 56,DA
Biomass 57,bus012,3,0,DA UC,RT,10.91,12120,,,,,3,,,,,Biomass 57,0.42,0.42,8,8,0.9,Biomass 57,15.9,1.91,3,Biomass 57,DA
Biomass 58,bus012,3,0,DA UC,RT,10.91,12120,,,,,3,,,,,Biomass 58,0.42,0.42,8,8,0.9,Biomass 58,15.9,1.91,3,Biomass 58,DA
Biomass 59,bus012,4.6,0,DA UC,RT,16.73,12120,,,,,4.6,,,,,,0.42,0.42,8,8,1.38,,24.38,1.91,,,DA
Biomass 60,bus012,3,0,DA UC,RT,10.91,12120,,,,,3,,,,,,0.42,0.42,8,8,0.9,,15.9,1.91,,,DA
Biomass 61,bus103,1.88,0,DA UC,RT,6.84,12120,,,,,1.88,,,,,Biomass 61,0.42,0.42,8,8,0.56,Biomass 61,9.96,1.91,1.88,Biomass 61,DA
Biomass 62,bus034,7.5,0,DA UC,RT,30.38,13500,,,,,7.5,,,,,Biomass 62,0.42,0.42,8,5,2.25,Biomass 62,39.75,1.91,7.5,Biomass 62,DA
CC NG 01,bus012,41.5,0,DA UC,RT,316.78,6489,,,,,41.5,,,,,CC NG 01,0.28,0.28,6,8,41.08,CC NG 01,3475.54,1.08,41.5,CC NG 1,DA
CC NG 03,bus012,126.98,0,DA UC,RT,817.44,5148.45,,,,,126.98,,,,,CC NG 03,1.06,1.07,4,8,20,CC NG 03,10634.31,1.08,126.98,CC NG 3,DA
CC NG 04,bus012,320,0,DA UC,RT,1305.53,6460.42,,,,,320,,,,,CC NG 04,2.5,2.5,4,8,160,CC NG 04,26799.33,1.08,320,CC NG 4,DA
CC NG 05,bus074,100,0,DA UC,RT,643.53,5369.87,,,,,100,,,,,CC NG 05,0.73,0.73,8,12,99,CC NG 05,8374.79,1.08,100,CC NG 5,DA
CC NG 06,bus012,13.5,0,DA UC,RT,38.9,9626.45,9685.06,9765.02,9925.4,,4.32,7.29,9.86,13.5,,CC NG 06,2.5,2.5,6,6,4.05,CC NG 06,1130.6,1.08,13.5,CC NG 6,DA
CC NG 07,bus103,55.1,0,DA UC,RT,505.73,6489,,,,,55.1,,,,,CC NG 07,0.39,0.4,4,8,20,CC NG 07,4614.51,1.08,55.1,CC NG 7,DA
CC NG 08,bus112,14.3,0,DA UC,RT,64.73,7167.45,,,,,14.3,,,,,CC NG 08,2.5,2.5,6,6,4.29,CC NG 08,1197.59,1.08,14.3,CC NG 8,DA
CC NG 09,bus107,33,0,DA UC,RT,149.37,7167.45,,,,,33,,,,,CC NG 09,2.5,2.5,6,6,32.67,CC NG 09,2763.68,1.08,33,CC NG 9,DA
CC NG 10,bus036,71.51,0,DA UC,RT,206.735,8680.7765,8730.37,,,,65.54,71.51,,,,CC NG 10,2.5,2.5,4,8,21.45299911,CC NG 10,5988.812988,1.081302047,71.51,CC NG 10,DA
CC NG 11,bus066,596.4,0,DA UC,RT,2610.27,5614.22,6065.79,6523.46,6981.34,,395.12,462.21,529.3,596.4,,CC NG 11,2.5,2.5,4,8,328.02,CC NG 11,49947.25,1.08,596.4,CC NG 11,DA
CC NG 12,bus046,150,0,DA UC,RT,776.77,8872.48,9368.83,10187.22,,,87.92,116.94,150,,,CC NG 12,2.67,2.67,4,8,60,CC NG 12,12562.18,1.08,150,CC NG 12,DA
CC NG 13,bus012,57.3,0,DA UC,RT,437.38,6489,,,,,57.3,,,,,CC NG 13,0.41,0.4,6,8,20,CC NG 13,4798.75,1.08,57.3,CC NG 13,DA
CC NG 14,bus049,164.75,0,DA UC,RT,683.65,7319.01,7907.7,8504.34,9101.27,,109.15,127.68,146.22,164.75,,CC NG 14,1.31,1.3,4,8,65.9,CC NG 14,13797.47,1.08,164.75,CC NG 14,DA
CC NG 15,bus034,27,0,DA UC,RT,125.42,10411.8,11151.78,12284.3,,,13.5,21.6,27,,,CC NG 15,2.67,2.67,2,2,8.1,CC NG 15,2261.19,1.08,27,CC NG 15,DA
CC NG 16,bus012,943.5,0,DA UC,RT,3841.14,5378.45,5811.05,6249.5,6688.16,9000,606.92,709.98,813.04,916.1,943.5,CC NG 16,6.65,6.65,4,8,503.86,CC NG 16,79016.14,1.08,943.5,CC NG 16,DA
CC NG 17,bus025,154.4,0,DA UC,RT,729.19,6058.06,6545.33,7039.18,7533.27,,102.29,119.66,137.03,154.4,,CC NG 17,2.5,2.5,4,8,84.92,CC NG 17,12930.68,1.08,154.4,CC NG 17,DA
CC NG 18,bus113,619,0,DA UC,RT,2359.7,5433.32,5870.34,6313.26,6756.4,8722.11,337.84,395.21,452.58,509.95,619,CC NG 18,4.42,4.42,4,8,306.4,CC NG 18,51839.95,1.08,619,CC NG 18,DA
CC NG 19,bus012,140,0,DA UC,RT,497.91,4983.78,5384.64,5790.91,6197.38,7450.02,84.9,99.32,113.74,128.15,140,CC NG 19,0.88,0.87,4,8,70.48,CC NG 19,11724.71,1.08,140,CC NG 19,DA
CC NG 20,bus025,25.8,0,DA UC,RT,390.91,6489,,,,,25.8,,,,,CC NG 20,2.67,2.67,2,2,25.54,CC NG 20,2160.7,1.08,25.8,CC NG 20,DA
CC NG 21,bus026,315,0,DA UC,RT,832.56,8072.62,,,,,315,,,,,CC NG 21,2.5,2.5,4,8,141.75,CC NG 21,26380.59,1.08,315,CC NG 21,DA
CC NG 22,bus026,677.8,0,DA UC,RT,2669.45,4793.24,5116.49,5439.73,5762.98,8312.11,433.02,494.88,556.74,618.6,677.8,CC NG 22,7.97,7.97,4,8,385.59,CC NG 22,56764.33,1.08,677.8,CC NG 22,DA
CC NG 23,bus010,636,0,DA UC,RT,2515.62,5442.6,5880.36,6324.04,6767.93,9080.23,400.74,468.8,536.85,604.9,636,CC NG 23,5.69,5.68,4,8,326.09,CC NG 23,53263.66,1.08,636,CC NG 23,DA
CC NG 24,bus025,672.3,0,DA UC,RT,2419,6330.73,,,,,672.3,,,,,CC NG 24,2.5,2.5,4,8,302.54,CC NG 24,56303.71,1.08,672.3,CC NG 24,DA
CC NG 25,bus010,32.49,0,DA UC,RT,248,6489,,,,,32.49,,,,,CC NG 25,0.22,0.22,4,8,32.17,CC NG 25,2720.97,1.08,32.49,CC NG 25,DA
CC NG 26,bus010,655,0,DA UC,RT,1886.4,7200,,,,,655,,,,,CC NG 26,3.01,3,4,8,262,CC NG 26,54854.88,1.08,655,CC NG 26,DA
CC NG 27,bus004,34.5,0,DA UC,RT,263.34,6489,,,,,34.5,,,,,CC NG 27,0.25,0.25,4,8,34.15,CC NG 27,2889.3,1.08,34.5,CC NG 27,DA
CC NG 28,bus100,181.5,0,DA UC,RT,882.2746,6997.74,,,,,181.5,,,,,CC NG 28,2.5,2.5,4,8,99.82499695,CC NG 28,15200.24023,1.081302047,181.5,CC NG 28,DA
CC NG 29,bus107,49.9,0,DA UC,RT,380.9,6489,,,,,49.9,,,,,CC NG 29,0.42,0.42,6,8,49.4,CC NG 29,4179.02,1.08,49.9,CC NG 29,DA
CC NG 31,bus089,336.5,0,DA UC,RT,1470.72,5606.43,6057.37,6514.41,6971.66,,222.93,260.79,298.64,336.5,,CC NG 31,2.5,2.5,4,8,185.07,CC NG 31,28181.17,1.08,336.5,CC NG 31,DA
CC NG 32,bus090,38.55,0,DA UC,RT,610.51,6489,,,,,38.55,,,,,CC NG 32,1.17,1.17,2,2,38.16,CC NG 32,3228.48,1.08,38.55,CC NG 32,DA
CC NG 33,bus090,24.88,0,DA UC,RT,71.69,9626.45,9685.06,9765.02,9925.4,,24.64,24.72,24.78,24.88,,CC NG 33,2.5,2.5,8,8,24.63,CC NG 33,2083.65,1.08,24.88,CC NG 33,DA
CC NG 34,bus087,688.3,0,DA UC,RT,2539.18,5298.86,5725.06,6157.02,6589.19,8749.29,378.24,442.47,506.7,570.92,688.3,CC NG 34,5.61,5.62,4,8,338.08,CC NG 34,57643.68,1.08,688.3,CC NG 34,DA
CC NG 35,bus089,595,0,DA UC,RT,2286.38,5407.71,5842.67,6283.5,6724.55,9000,359.3,420.32,481.33,542.35,595,CC NG 35,3.69,3.68,4,8,298.29,CC NG 35,49830,1.08,595,CC NG 35,DA
CC NG 36,bus087,668,0,DA UC,RT,2818.21,5411.77,5847.05,6288.21,6729.59,,442.55,517.7,592.85,668,,CC NG 36,2.5,2.5,4,8,367.4,CC NG 36,55943.6,1.08,668,CC NG 36,DA
CC NG 37,bus065,636,0,DA UC,RT,2241.39,5196.53,5583.89,5971.25,6358.61,8996.73,363.43,460.34,533.03,593.6,636,CC NG 37,6.69,6.68,4,8,298.19,CC NG 37,53263.66,1.08,636,CC NG 37,DA
CC NG 38,bus049,98.2,0,DA UC,RT,335.64,5546.49,5992.61,6444.76,6897.12,9000,51.43,60.16,68.89,77.62,98.2,CC NG 38,2.5,2.5,4,8,42.69,CC NG 38,8224.04,1.08,98.2,CC NG 38,DA
CC NG 39,bus018,247,0,DA UC,RT,2132.11,6489,,,,,247,,,,,CC NG 39,2.02,2.03,4,8,244.53,CC NG 39,20685.73,1.08,247,CC NG 39,DA
CC NG 40,bus107,751.1,0,DA UC,RT,971.04,5639.614,6093.222,6552.962,7012.919,,540.1,631.8,723.5,749.9,,,1.856,1.85,4,8,412.5,,62810.93,1.08,,,DA
CT NG 01,bus006,25.4,-1,,,133.1,8978.49,9480.76,10308.93,,,17.78,22.86,25.4,,,CT NG 1,2.67,2.67,2,2,11.43,CT NG 1,861.65,0.7,25.4,CT NG 1,RT
CT NG 02,bus018,25.4,-1,,,132.96,8968.93,9470.68,10297.97,,,17.57,22.65,25.4,,,CT NG 2,2.67,2.67,2,2,11.43,CT NG 2,861.65,0.7,25.4,CT NG 2,RT
CT NG 03,bus004,24.75,-1,,,129.7,8978.49,9480.76,10308.93,,,17.32,22.27,24.75,,,CT NG 3,2.67,2.67,2,2,11.14,CT NG 3,839.6,0.7,24.75,CT NG 3,RT
CT NG 04,bus004,24.75,-1,,,129.7,8978.49,9480.76,10308.93,,,17.32,22.27,24.75,,,CT NG 4,2.67,2.67,2,2,11.14,CT NG 4,839.6,0.7,24.75,CT NG 4,RT
CT NG 05,bus004,49.9,-1,,,254.25,10178.88,11005.58,12879.82,,,24.95,39.92,49.9,,,CT NG 5,1.33,1.33,2,2,14.97,CT NG 5,1692.77,0.7,49.9,CT NG 5,RT
CT NG 06,bus006,49.9,-1,,,254.25,10178.88,11005.58,12879.82,,,24.95,39.92,49.9,,,CT NG 6,1.33,1.33,2,2,14.97,CT NG 6,1692.77,0.7,49.9,CT NG 6,RT
CT NG 07,bus006,49.9,-1,,,254.25,10178.88,11005.58,12879.82,,,24.95,39.92,49.9,,,CT NG 7,1.33,1.33,2,2,14.97,CT NG 7,1692.77,0.7,49.9,CT NG 7,RT
CT NG 08,bus008,50,-1,,,242.98,9973.58,11137.16,12586.88,,,25,40,50,,,,1.67,1.67,2,2,15,,1696.16,0.7,,,RT
CT NG 09,bus008,50,-1,,,256,8772.26,9263,10072.15,,,29.26,36.33,50,,,CT NG 9,1.97,1.97,1,1,25,CT NG 9,1696.16,0.7,50,CT NG 9,RT
CT NG 10,bus008,50,-1,,,256,8772.26,9263,10072.15,,,29.26,36.33,50,,,CT NG 10,1.97,1.97,1,1,25,CT NG 10,1696.16,0.7,50,CT NG 10,RT
CT NG 11,bus010,50,-1,,,256,8772.26,9263,10072.15,,,29.26,36.33,50,,,CT NG 11,1.97,1.97,1,1,25,CT NG 11,1696.16,0.7,50,CT NG 11,RT
CT NG 12,bus010,50,-1,,,256,8772.26,9263,10072.15,,,29.26,36.33,50,,,CT NG 12,1.97,1.97,1,1,25,CT NG 12,1696.16,0.7,50,CT NG 12,RT
CT NG 13,bus006,21.6,-1,,,104.97,9973.58,11137.16,12586.88,,,21.45,21.54,21.6,,,CT NG 13,0.67,0.67,1,1,21.3,CT NG 13,732.74,0.7,21.6,CT NG 13,RT
CT NG 14,bus006,21.6,-1,,,104.97,9973.58,11137.16,12586.88,,,21.45,21.54,21.6,,,CT NG 14,0.67,0.67,1,1,21.3,CT NG 14,732.74,0.7,21.6,CT NG 14,RT
CT NG 15,bus025,21.6,-1,,,104.97,9973.58,11137.16,12586.88,,,21.45,21.54,21.6,,,CT NG 15,0.67,0.67,1,1,21.3,CT NG 15,732.74,0.7,21.6,CT NG 15,RT
CT NG 16,bus025,49.9,-1,,,261.49,8978.49,9480.76,10308.93,,,34.93,44.91,49.9,,,CT NG 16,1.33,1.33,2,2,22.45,CT NG 16,1692.77,0.7,49.9,CT NG 16,RT
CT NG 17,bus004,6.9,-1,,,17.33,7651.79,,,,,6.9,,,,,CT NG 17,1,1,1,1,3.11,CT NG 17,234.07,0.7,6.9,CT NG 17,RT
CT NG 18,bus004,3.9,-1,,,9.79,7651.79,,,,,3.9,,,,,CT NG 18,1,1,1,1,1.75,CT NG 18,132.3,0.7,3.9,CT NG 18,RT
CT NG 19,bus018,3.9,-1,,,9.79,7651.79,,,,,3.9,,,,,CT NG 19,1,1,1,1,1.75,CT NG 19,132.3,0.7,3.9,CT NG 19,RT
CT NG 20,bus025,6.9,-1,,,17.33,7651.79,,,,,6.9,,,,,CT NG 20,1,1,1,1,3.11,CT NG 20,234.07,0.7,6.9,CT NG 20,RT
CT NG 21,bus085,100,-1,,,602.19,5609.17,5842.25,6075.34,6308.42,6541.51,36,52,68,84,100,,6.266666667,6.266666667,1,1,20,,3392.320068,0.699666023,,,RT
CT NG 22,bus091,100,-1,,,602.19,5609.17,5842.25,6075.34,6308.42,6541.51,36,52,68,84,100,,6.27,6.27,1,1,20,,3392.32,0.7,,,RT
CT NG 23,bus091,100,-1,,,602.19,5609.17,5842.25,6075.34,6308.42,6541.51,36,52,68,84,100,,6.27,6.27,1,1,20,,3392.32,0.7,,,RT
CT NG 24,bus100,100,-1,,,602.19,5609.17,5842.25,6075.34,6308.42,6541.51,36,52,68,84,100,,6.27,6.27,1,1,20,,3392.32,0.7,,,RT
CT NG 25,bus100,100,-1,,,602.19,5609.17,5842.25,6075.34,6308.42,6541.51,36,52,68,84,100,,6.27,6.27,1,1,20,,3392.32,0.7,,,RT
CT NG 26,bus100,100,-1,,,602.19,5609.17,5842.25,6075.34,6308.42,6541.51,36,52,68,84,100,,6.27,6.27,1,1,20,,3392.32,0.7,,,RT
CT NG 27,bus107,1.05,-1,,,2.64,7651.79,,,,,1.05,,,,,CT NG 27,1,1,1,1,0,CT NG 27,35.62,0.7,1.05,CT NG 27,RT
CT NG 28,bus100,44.02,-1,,,230.54,10462.6,11312.34,13238.82,,,30.81,39.62,44.02,,,CT NG 28,2.67,2.67,2,2,13.21,CT NG 28,1493.3,0.7,44.02,CT NG 28,RT
CT NG 29,bus107,0.6,-1,,,1.51,7651.79,,,,,0.6,,,,,CT NG 29,1,1,1,1,0,CT NG 29,20.35,0.7,0.6,CT NG 29,RT
CT NG 30,bus090,18,-1,,,83.61,10411.8,11151.78,12284.3,,,9,14.4,18,,,CT NG 30,2.67,2.67,2,2,5.4,CT NG 30,610.62,0.7,18,CT NG 30,RT
CT NG 31,bus107,1.54,-1,,,3.87,7651.79,,,,,1.54,,,,,CT NG 31,1,1,1,1,0,CT NG 31,52.24,0.7,1.54,CT NG 31,RT
CT NG 32,bus107,1.6,-1,,,4.02,7651.79,,,,,1.6,,,,,CT NG 32,1,1,1,1,0,CT NG 32,54.28,0.7,1.6,CT NG 32,RT
CT NG 33,bus107,1.3,-1,,,3.26,7651.79,,,,,1.3,,,,,CT NG 33,1,1,1,1,0,CT NG 33,44.1,0.7,1.3,CT NG 33,RT
