Line Name,Bus from ,Bus to,Max Flow (MW),Min Flow (MW),Reactance (p.u.),Resistance (p.u.)
line115,bus070,bus075,600,-600,0.141,0.0428
line116,bus069,bus075,1700,-1700,0.122,0.0405
line117,bus074,bus075,600,-600,0.0406,0.0123
line118,bus076,bus077,600,-600,0.148,0.0444
line119,bus069,bus077,600,-600,0.101,0.0309
line120,bus075,bus077,600,-600,0.1999,0.0601
line121,bus077,bus078,600,-600,0.0124,0.00376
line122,bus078,bus079,600,-600,0.0244,0.00546
line123,bus077,bus080,1700,-1700,0.0485,0.017
line124,bus077,bus080,1700,-1700,0.105,0.0294
line125,bus079,bus080,600,-600,0.0704,0.0156
line126,bus068,bus081,1700,-1700,0.0202,0.00175
line127,bus081,bus080,1700,-1700,0.037,0
line128,bus077,bus082,700,-700,0.0853,0.0298
line129,bus082,bus083,1700,-1700,0.03665,0.0112
line130,bus083,bus084,600,-600,0.132,0.0625
line131,bus083,bus085,600,-600,0.148,0.043
line132,bus084,bus085,600,-600,0.0641,0.0302
line133,bus085,bus086,3500,-3500,0.123,0.035
line134,bus086,bus087,3500,-3500,0.2074,0.02828
line135,bus085,bus088,1700,-1700,0.102,0.02
line136,bus085,bus089,600,-600,0.173,0.0239
line137,bus088,bus089,1700,-1700,0.0712,0.0139
line138,bus089,bus090,1700,-1700,0.188,0.0518
line139,bus089,bus090,1700,-1700,0.0997,0.0238
line140,bus090,bus091,600,-600,0.0836,0.0254
line141,bus089,bus092,1700,-1700,0.0505,0.0099
line142,bus089,bus092,1700,-1700,0.1581,0.0393
line143,bus091,bus092,600,-600,0.1272,0.0387
line144,bus092,bus093,600,-600,0.0848,0.0258
line145,bus092,bus094,600,-600,0.158,0.0481
line146,bus093,bus094,600,-600,0.0732,0.0223
line147,bus094,bus095,600,-600,0.0434,0.0132
line148,bus080,bus096,600,-600,0.182,0.0356
line149,bus082,bus096,600,-600,0.053,0.0162
line150,bus094,bus096,600,-600,0.0869,0.0269
line151,bus080,bus097,600,-600,0.0934,0.0183
line152,bus080,bus098,600,-600,0.108,0.0238
line153,bus080,bus099,700,-700,0.206,0.0454
line154,bus092,bus100,600,-600,0.295,0.0648
line155,bus094,bus100,600,-600,0.058,0.0178
line156,bus095,bus096,600,-600,0.0547,0.0171
line157,bus096,bus097,600,-600,0.0885,0.0173
line158,bus098,bus100,600,-600,0.179,0.0397
line159,bus099,bus100,600,-600,0.0813,0.018
line160,bus100,bus101,600,-600,0.1262,0.0277
line161,bus092,bus102,600,-600,0.0559,0.0123
line162,bus101,bus102,600,-600,0.112,0.0246
line163,bus100,bus103,1700,-1700,0.0525,0.016
line164,bus100,bus104,600,-600,0.204,0.0451
line165,bus103,bus104,600,-600,0.1584,0.0466
line166,bus103,bus105,600,-600,0.1625,0.0535
line167,bus100,bus106,600,-600,0.229,0.0605
line168,bus104,bus105,600,-600,0.0378,0.00994
line169,bus105,bus106,600,-600,0.0547,0.014
line170,bus105,bus107,600,-600,0.183,0.053
line171,bus105,bus108,600,-600,0.0703,0.0261
line172,bus106,bus107,600,-600,0.183,0.053
line173,bus108,bus109,600,-600,0.0288,0.0105
line174,bus103,bus110,600,-600,0.1813,0.03906
line175,bus109,bus110,600,-600,0.0762,0.0278
line176,bus110,bus111,600,-600,0.0755,0.022
line177,bus110,bus112,600,-600,0.064,0.0247
line178,bus017,bus113,600,-600,0.0301,0.00913
line179,bus032,bus113,1700,-1700,0.203,0.0615
line180,bus032,bus114,600,-600,0.0612,0.0135
line181,bus027,bus115,600,-600,0.0741,0.0164
line182,bus114,bus115,600,-600,0.0104,0.0023
line183,bus068,bus116,1700,-1700,0.00405,0.00034
line184,bus012,bus117,600,-600,0.14,0.0329
line185,bus075,bus118,600,-600,0.0481,0.0145
line186,bus076,bus118,600,-600,0.0544,0.0164
